GRANDES	PROPN	grand
,	PUNCT	,
qui	PRON	qui
n'	ADV	ne
estoient	VERB	estre
pas	NOUN	pas
pers	NOUN	pers
,	PUNCT	,
et	CCONJ	et
barons	NOUN	baron
:	PUNCT	:
Loys	PROPN	louis
,	PUNCT	,
duc	NOUN	duc
d'	ADP	de
Anjou	ADP	anjou
,	PUNCT	,
et	CCONJ	et
Phelippe	PROPN	philippe
,	PUNCT	,
duc	NOUN	duc
de	ADP	de
Touraine	PROPN	tourene
,	PUNCT	,
et	CCONJ	et
la	DET	le
contesse	NOUN	comtesse
de	ADP	de
Flandres	PROPN	flandres
,	PUNCT	,
contesse	NOUN	comtesse
d'	ADP	de
Artois	PROPN	artis
,	PUNCT	,
pers	NOUN	pers
de	ADP	de
France	PROPN	france
,	PUNCT	,
le	DET	le
roy	NOUN	roi
de	ADP	de
Chipre	NOUN	chipre
,	PUNCT	,
le	DET	le
duc	NOUN	duc
de	ADP	de
Breban	PROPN	breban
,	PUNCT	,
frere	NOUN	frere
de	ADP	de
l'	DET	le
Empereur	NOUN	empereur
et	CCONJ	et
oncle	NOUN	oncle
du	ADP.DET	de.le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
France	PROPN	france
;	PUNCT	;
le	DET	le
duc	NOUN	duc
de	ADP	de
Lorraine	PROPN	lorroi
,	PUNCT	,
le	DET	le
duc	NOUN	duc
de	ADP	de
Bar	PROPN	bar
,	PUNCT	,
et	CCONJ	et
pluseurs	DET	plusieurs
autres	PRON	autre
barons	NOUN	baron
qui	PRON	qui
n'	ADV	ne
estoient	VERB	estre
pas	NOUN	pas
pers	NOUN	pers
.	PUNCT	.
Item	X	item
,	PUNCT	,
le	DET	le
mardi	NOUN	mardi
XX	DET	vingt
et	CCONJ	et
VIIIe	DET	uitier
jour	NOUN	jour
du	ADP.DET	de.le
dit	VERB	dire
mois	NOUN	mois
de	ADP	de
may	NOUN	mai
,	PUNCT	,
les	DET	le
diz	NOUN	dire
roy	NOUN	roi
et	CCONJ	et
royne	NOUN	roine
de	ADP	de
France	PROPN	france
,	PUNCT	,
qui	PRON	qui
retournoient	VERB	retourner
de	ADP	de
leur	DET	leur
sacre	NOUN	sacre
,	PUNCT	,
entrerent	VERB	entrer
à	ADP	à
Paris	PROPN	paris
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
assavoir	VERB	assavoir
le	DET	le
dit	VERB	dire
Roy	NOUN	roi
environ	ADP	environ
heure	NOUN	heure
de	ADP	de
midy	NOUN	midi
,	PUNCT	,
et	CCONJ	et
ala	VERB	aler
droit	ADJ	droit
à	ADP	à
Nostre-Dame	PROPN	nôtre-dame
et	CCONJ	et
de	ADP	de
là	ADV	là
retourna	VERB	retourner
au	ADP.DET	a.le
Palais	NOUN	palais
;	PUNCT	;
et	CCONJ	et
environ	ADP	environ
nonne	NOUN	none
,	PUNCT	,
la	DET	le
Royne	NOUN	roine
entra	VERB	entrer
à	ADP	à
Paris	PROPN	paris
et	CCONJ	et
ala	VERB	aler
droit	ADJ	droit
au	ADP.DET	a.le
Palais	NOUN	palais
.	PUNCT	.
Et	CCONJ	et
avecques	ADP	avec
la	DET	le
Royne	NOUN	roine
estoient	VERB	estre
à	ADP	à
cheval	NOUN	cheval
la	DET	le
duchesse	NOUN	duchés
d'	ADP	de
Orliens	PROPN	orline
,	PUNCT	,
femme	NOUN	femme
de	ADP	de
Phelippe	PROPN	philippe
,	PUNCT	,
duc	NOUN	duc
d'	ADP	de
Orliens	PROPN	orline
,	PUNCT	,
oncle	NOUN	oncle
du	ADP.DET	de.le
dit	VERB	dire
Roy	NOUN	roi
,	PUNCT	,
la	DET	le
duchesse	NOUN	duchés
d'	ADP	de
Anjou	ADP	anjou
,	PUNCT	,
femme	NOUN	femme
du	ADP.DET	de.le
dit	VERB	dire
Loys	PROPN	louis
,	PUNCT	,
duc	NOUN	duc
d'	ADP	de
Anjou	ADP	anjou
,	PUNCT	,
et	CCONJ	et
madame	NOUN	mademe
Marie	PROPN	marie
,	PUNCT	,
suer	NOUN	seror
d'	ADP	de
icelui	DET	cil
Roy	NOUN	roi
,	PUNCT	,
laquelle	DET	lequel
n'	ADV	ne
avoit	VERB	avoir
onques	ADV	onque
esté	VERB	être
mariée	NOUN	marier
,	PUNCT	,
et	CCONJ	et
de	ADP	de
puis	NOUN	puis
fu	VERB	estre
femme	NOUN	femme
du	ADP.DET	de.le
duc	NOUN	duc
de	ADP	de
Bar	PROPN	bar
.	PUNCT	.
Et	CCONJ	et
menoit	VERB	mener
la	DET	le
dite	VERB	dire
Royne	NOUN	roine
,	PUNCT	,
par	ADP	par
le	DET	le
frain	NOUN	frein
du	ADP.DET	de.le
cheval	NOUN	cheval
,	PUNCT	,
monseigneur	NOUN	monseigneur
de	ADP	de
Touraine	PROPN	tourene
,	PUNCT	,
qui	PRON	qui
aloit	VERB	aler
de	ADP	de
pié	NOUN	pié
,	PUNCT	,
lequel	DET	lequel
monseigneur	NOUN	monseigneur
de	ADP	de
Touraine	PROPN	tourene
estoit	VERB	estre
frere	NOUN	frere
du	ADP.DET	de.le
dit	VERB	dire
Roy	NOUN	roi
.	PUNCT	.
Et	CCONJ	et
monseigneur	NOUN	monseigneur
le	DET	le
conte	NOUN	comte
de	ADP	de
Eu	CCONJ	avoir
semblablement	ADV	semblablement
menoit	VERB	mener
madame	NOUN	mademe
d'	ADP	de
Orliens	PROPN	orline
;	PUNCT	;
monseigneur	NOUN	monseigneur
d'	ADP	de
Estampes	NOUN	étampes
menoit	VERB	mener
madame	NOUN	mademe
d'	ADP	de
Anjou	ADP	anjou
,	PUNCT	,
et	CCONJ	et
monseigneur	NOUN	monseigneur
Loys	PROPN	louis
de	ADP	de
Chalon	PROPN	chalon
et	CCONJ	et
le	DET	le
seigneur	NOUN	seigneur
de	ADP	de
Beaugieu	PROPN	beaugois
menerent	VERB	mener
la	DET	le
dite	VERB	dire
madame	NOUN	mademe
Marie	PROPN	marie
.	PUNCT	.
Et	CCONJ	et
fist	VERB	faire
l'	DET	le
en	ADP	en
celui	DET	cel
jour	NOUN	jour
grant	ADJ	grant
disner	VERB	dire
au	ADP.DET	a.le
Palais	NOUN	palais
,	PUNCT	,
là	ADV	là
où	ADV	où
furent	VERB	estre
tous	DET	tout
les	DET	le
prelas	ADJ	preler
qui	PRON	qui
estoient	VERB	estre
à	ADP	à
Paris	PROPN	paris
.	PUNCT	.
Et	CCONJ	et
après	ADV	après
disner	VERB	dire
,	PUNCT	,
qui	PRON	qui
fu	VERB	estre
environ	ADP	environ
nonne	NOUN	none
,	PUNCT	,
ot	VERB	avoir
grans	ADJ	grand
joustes	NOUN	joute
en	ADP	en
la	DET	le
court	NOUN	cour
du	ADP.DET	de.le
Palais	NOUN	palais
,	PUNCT	,
et	CCONJ	et
l'	DET	le
endemain	NOUN	endemain
aussi	ADV	aussi
,	PUNCT	,
et	CCONJ	et
à	ADP	à
tous	DET	tout
les	DET	le
deux	DET	deux
jours	NOUN	jour
jousta	VERB	jouter
le	DET	le
roy	NOUN	roi
de	ADP	de
Chipre	NOUN	chipre
,	PUNCT	,
et	CCONJ	et
pluseurs	DET	plusieurs
autres	PRON	autre
dux	NOUN	duc
,	PUNCT	,
contes	NOUN	comte
et	CCONJ	et
barons	NOUN	baron
.	PUNCT	.
Item	X	item
,	PUNCT	,
le	DET	le
vendredy	NOUN	vendredi
,	PUNCT	,
derrenier	VERB	derraine
jour	NOUN	jour
du	ADP.DET	de.le
dit	VERB	dire
mois	NOUN	mois
de	ADP	de
may	NOUN	mai
l'	DET	le
an	ADP	en
mil	DET	mil
CCC	DET	cect
LXIIII	PROPN	lenticut
dessus	ADV	dessus
dit	VERB	dire
,	PUNCT	,
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Charles	PROPN	charles
octroia	VERB	octroyer
à	ADP	à
Monseigneur	NOUN	monseigneur
Phelippe	PROPN	philippe
,	PUNCT	,
son	DET	son
plus	ADV	plus
jeune	ADJ	jeune
frere	NOUN	frere
,	PUNCT	,
la	DET	le
duchié	NOUN	duché
de	ADP	de
Bourgoigne	PROPN	bourgogne
,	PUNCT	,
laquelle	DET	lequel
avoit	VERB	avoir
esté	VERB	être
requise	VERB	requerre
par	ADP	par
avant	ADV	avant
au	ADP.DET	a.le
roy	NOUN	roi
Jehan	PROPN	jean
,	PUNCT	,
et	CCONJ	et
l'	DET	le
en	ADP	en
reçupt	VERB	recevoir
celi	PRON	cel
jour	NOUN	jour
en	ADP	en
sa	DET	son
foy	NOUN	foi
et	CCONJ	et
en	ADP	en
son	DET	son
homaige	NOUN	hommage
.	PUNCT	.
Et	CCONJ	et
ycelui	DET	cil
monseigneur	NOUN	monseigneur
Phelippe	PROPN	philippe
laissa	VERB	laisser
au	ADP.DET	a.le
Roy	NOUN	roi
,	PUNCT	,
son	DET	son
frere	NOUN	frere
,	PUNCT	,
la	DET	le
duchié	NOUN	duché
de	ADP	de
Touraine	PROPN	tourene
,	PUNCT	,
que	SCONJ	que
le	DET	le
roy	NOUN	roi
Jehan	PROPN	jean
,	PUNCT	,
son	DET	son
pere	NOUN	père
,	PUNCT	,
li	DET	le
avoit	VERB	avoir
donnée	VERB	donner
l'	DET	le
an	ADP	en
mil	DET	mil
CCC	DET	cect
LX	DET	lent
.	PUNCT	.
De	ADP	de
la	DET	le
mort	NOUN	mort
de	ADP	de
Charles	PROPN	charles
de	ADP	de
Blois	PROPN	blois
et	CCONJ	et
desconfiture	NOUN	desconfire
de	ADP	de
ses	DET	son
genz	NOUN	gent
par	ADP	par
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
.	PUNCT	.
Le	DET	le
dymenche	NOUN	dhame
jour	NOUN	jour
de	ADP	de
la	DET	le
Saint-Michiel	PROPN	saint-mint
mil	DET	mil
CCC	DET	cect
LXIIII	PROPN	lenticut
dessus	ADV	dessus
dit	VERB	dire
,	PUNCT	,
se	PRON	se
combatirent	VERB	combattre
devant	ADP	devant
le	DET	le
chastel	NOUN	chastel
d'	ADP	de
Aurroy	PROPN	avoir
,	PUNCT	,
près	NOUN	près
de	ADP	de
la	DET	le
cité	NOUN	cité
de	ADP	de
Nantes	NOUN	nantes
,	PUNCT	,
monseigneur	NOUN	monseigneur
Charles	PROPN	charles
de	ADP	de
Blois	PROPN	blois
,	PUNCT	,
lors	ADV	lors
duc	NOUN	duc
de	ADP	de
Bretaigne	PROPN	bretagne
de	ADP	de
l'	DET	le
eritage	NOUN	ertre
de	ADP	de
sa	DET	son
femme	NOUN	femme
,	PUNCT	,
d'	ADP	de
une	DET	un
part	NOUN	part
,	PUNCT	,
et	CCONJ	et
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
,	PUNCT	,
d'	ADP	de
autre	ADJ	autre
part	NOUN	part
.	PUNCT	.
Et	CCONJ	et
avoit	VERB	avoir
le	DET	le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Charles	PROPN	charles
,	PUNCT	,
en	ADP	en
sa	DET	son
compaignie	NOUN	compagnie
,	PUNCT	,
grant	ADJ	grant
foison	NOUN	foison
de	ADP	de
François	PROPN	françon
et	CCONJ	et
de	ADP	de
Bretons	PROPN	breton
,	PUNCT	,
qui	PRON	qui
avoient	VERB	avoir
tenu	VERB	tenir
et	CCONJ	et
tenoient	VERB	tenir
la	DET	le
partie	NOUN	partie
du	ADP.DET	de.le
roy	NOUN	roi
de	ADP	de
France	PROPN	france
.	PUNCT	.
Et	CCONJ	et
le	DET	le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
avoit	VERB	avoir
Anglois	PROPN	anglais
et	CCONJ	et
autres	PRON	autre
Bretons	PROPN	breton
,	PUNCT	,
qui	PRON	qui
avoient	VERB	avoir
tenu	VERB	tenir
la	DET	le
partie	NOUN	partie
du	ADP.DET	de.le
roy	NOUN	roi
d'	ADP	de
Angleterre	PROPN	angleterre
.	PUNCT	.
Et	CCONJ	et
fu	VERB	estre
le	DET	le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Charles	PROPN	charles
mort	NOUN	mort
en	ADP	en
la	DET	le
dicte	VERB	dire
bataille	NOUN	bataille
,	PUNCT	,
et	CCONJ	et
ceuls	DET	cil
,	PUNCT	,
qui	PRON	qui
en	ADP	en
sa	DET	son
compaignie	NOUN	compagnie
estoient	VERB	estre
,	PUNCT	,
furent	VERB	estre
desconfis	NOUN	desconfire
,	PUNCT	,
et	CCONJ	et
la	DET	le
plus	ADV	plus
grant	ADJ	grant
partie	NOUN	partie
mors	NOUN	mors
ou	CCONJ	ou
pris	NOUN	prendre
.	PUNCT	.
Et	CCONJ	et
de	ADP	de
puis	NOUN	puis
la	DET	le
dicte	VERB	dire
bataille	NOUN	bataille
,	PUNCT	,
le	DET	le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
ne	ADV	ne
trouva	VERB	trouver
,	PUNCT	,
ou	CCONJ	ou
dit	VERB	dire
pays	NOUN	pays
de	ADP	de
Bretaigne	PROPN	bretagne
,	PUNCT	,
qui	PRON	qui
luy	PRON	lui
resistast	VERB	restre
ou	CCONJ	ou
feist	VERB	faire
aucune	DET	aucun
guerre	NOUN	guerre
,	PUNCT	,
jasoit	VERB	jasser
ce	PRON	ce
que	SCONJ	que
la	DET	le
duchesce	NOUN	duchéce
,	PUNCT	,
femme	NOUN	femme
du	ADP.DET	de.le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Charles	PROPN	charles
,	PUNCT	,
et	CCONJ	et
du	ADP.DET	de.le
quel	DET	quel
costé	NOUN	côté
la	DET	le
dicte	VERB	dire
duchié	NOUN	duché
li	DET	le
estoit	VERB	estre
escheue	NOUN	échece
par	ADP	par
la	DET	le
mort	NOUN	mort
du	ADP.DET	de.le
duc	NOUN	duc
Jehan	PROPN	jean
,	PUNCT	,
feust	VERB	être
demourée	VERB	demeurer
en	ADP	en
vie	NOUN	vie
et	CCONJ	et
estoit	VERB	estre
ou	CCONJ	ou
pays	NOUN	pays
.	PUNCT	.
Du	ADP.DET	de.le
traictié	VERB	traité
qui	PRON	qui
fu	VERB	estre
entre	ADP	entre
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
et	CCONJ	et
la	DET	le
duchesse	NOUN	duchés
,	PUNCT	,
pour	ADP	pour
la	DET	le
duchié	NOUN	duché
de	ADP	de
Bretaigne	PROPN	bretagne
.	PUNCT	.
L'	DET	le
an	ADP	en
mil	DET	mil
CCC	DET	cect
LXIV	PRON	levriz
,	PUNCT	,
le	DET	le
XIIe	ADJ	unit
jour	NOUN	jour
du	ADP.DET	de.le
mois	NOUN	mois
d'	ADP	de
avril	NOUN	avril
,	PUNCT	,
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Craon	PROPN	crone
,	PUNCT	,
lors	ADV	lors
arcevesque	NOUN	archevéque
de	ADP	de
Reims	NOUN	remetre
,	PUNCT	,
et	CCONJ	et
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
le	DET	le
Maingre	NOUN	mangier
,	PUNCT	,
dit	VERB	dire
Bouciquaut	PROPN	bouchedlouc
,	PUNCT	,
lors	ADV	lors
mareschal	NOUN	maréchal
de	ADP	de
France	PROPN	france
,	PUNCT	,
lesquels	DET	lequel
le	DET	le
roy	NOUN	roi
de	ADP	de
France	PROPN	france
,	PUNCT	,
Charles	PROPN	charles
,	PUNCT	,
avoit	VERB	avoir
envoiez	VERB	envoiier
ou	CCONJ	ou
dit	VERB	dire
païs	NOUN	päis
de	ADP	de
Bretaingne	PROPN	bretagne
,	PUNCT	,
pour	ADP	pour
traictier	VERB	traiter
entre	ADP	entre
la	DET	le
dicte	VERB	dire
duchesce	NOUN	duchéce
et	CCONJ	et
le	DET	le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
,	PUNCT	,
furent	VERB	estre
et	CCONJ	et
traictierent	VERB	traiter
accort	VERB	accort
entre	ADP	entre
les	DET	le
dites	VERB	dire
parties	NOUN	partie
par	ADP	par
la	DET	le
maniere	NOUN	manière
qui	PRON	qui
s'	DET	soi
ensuyt	VERB	ensuivre
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
assavoir	VERB	assavoir
que	SCONJ	que
la	DET	le
dite	VERB	dire
duchié	NOUN	duché
de	ADP	de
Bretaingne	PROPN	bretagne
,	PUNCT	,
du	ADP.DET	de.le
quel	DET	quel
,	PUNCT	,
XX	DET	vingt
ans	NOUN	an
par	ADP	par
avant	ADV	avant
ou	CCONJ	ou
environ	ADP	environ
,	PUNCT	,
la	DET	le
possession	NOUN	possession
et	CCONJ	et
l'	DET	le
estat	NOUN	état
avoit	VERB	avoir
esté	VERB	être
adjugié	VERB	adjéjuir
par	ADP	par
le	DET	le
roy	NOUN	roi
Phelippe	PROPN	philippe
et	CCONJ	et
par	ADP	par
arrest	NOUN	arrêt
au	ADP.DET	a.le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Charles	PROPN	charles
de	ADP	de
Blois	PROPN	blois
,	PUNCT	,
à	ADP	à
cause	NOUN	cause
de	ADP	de
sa	DET	son
dite	VERB	dire
femme	NOUN	femme
,	PUNCT	,
demourroit	VERB	demeurer
en	ADP	en
heritage	NOUN	héritage
perpetuel	NOUN	perpeltue
au	ADP.DET	a.le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
,	PUNCT	,
et	CCONJ	et
la	DET	le
dicte	VERB	dire
duchesce	NOUN	duchéce
auroit	VERB	avoir
pour	ADP	pour
li	DET	le
et	CCONJ	et
pour	ADP	pour
ses	DET	son
hoirs	NOUN	hoir
la	DET	le
contée	VERB	conter
de	ADP	de
Pantevre	VERB	penteler
,	PUNCT	,
qui	PRON	qui
avoit	VERB	avoir
esté	VERB	être
propre	NOUN	propre
heritage	NOUN	héritage
de	ADP	de
monseigneur	NOUN	monseigneur
Guy	PROPN	gui
de	ADP	de
Bretaigne	PROPN	bretagne
,	PUNCT	,
son	DET	son
pere	NOUN	père
.	PUNCT	.
Et	CCONJ	et
si	ADV	si
devoit	VERB	devoir
avoir	VERB	avoir
par	ADP	par
le	DET	le
dit	VERB	dire
traictié	VERB	traité
la	DET	le
vicontée	NOUN	viconté
de	ADP	de
Lymoges	PROPN	limoges
.	PUNCT	.
Et	CCONJ	et
jasoit	VERB	jasser
ce	PRON	ce
que	SCONJ	que
la	DET	le
dite	VERB	dire
duchesse	NOUN	duchés
ne	ADV	ne
se	PRON	se
consentist	VERB	consentir
point	NOUN	point
en	ADP	en
sa	DET	son
personne	NOUN	personne
,	PUNCT	,
mais	NOUN	mais
seulement	ADV	seulement
le	DET	le
sire	NOUN	seignor
de	ADP	de
Beaumanoir	PROPN	beaumenaupe
et	CCONJ	et
aucuns	DET	aucun
autres	PRON	autre
qu'	SCONJ	que
elle	PRON	elle
avoit	VERB	avoir
instituez	DET	instuté
procureurs	NOUN	proupquerus
pour	ADP	pour
traictier	VERB	traiter
,	PUNCT	,
neent	ADV	nïent
moins	ADV	moins
fu	VERB	estre
tantost	ADV	tantost
et	CCONJ	et
sanz	ADP	sans
delay	NOUN	delai
la	DET	le
possession	NOUN	possession
du	ADP.DET	de.le
dit	VERB	dire
duchié	NOUN	duché
,	PUNCT	,
et	CCONJ	et
des	ADP.DET	de.le
villes	NOUN	ville
,	PUNCT	,
chasteaux	NOUN	château
et	CCONJ	et
forteresses	NOUN	forteresse
d'	ADP	de
icelui	DET	cil
bailliée	NOUN	bailler
et	CCONJ	et
delivrée	VERB	delivrer
,	PUNCT	,
realment	VERB	relament
et	CCONJ	et
de	ADP	de
fait	VERB	faire
,	PUNCT	,
au	ADP.DET	a.le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
,	PUNCT	,
dont	PRON	dont
moult	ADV	moult
de	ADP	de
gens	NOUN	gens
s'	DET	soi
esmerveillierent	VERB	esmerveiller
,	PUNCT	,
car	CCONJ	car
le	DET	le
dit	VERB	dire
duchié	NOUN	duché
avoit	VERB	avoir
esté	VERB	être
delivré	VERB	delivrer
par	ADP	par
arrest	NOUN	arrêt
à	ADP	à
la	DET	le
dicte	VERB	dire
duchesse	NOUN	duchés
,	PUNCT	,
comme	SCONJ	comme
dessus	ADV	dessus
est	VERB	estre
dit	VERB	dire
,	PUNCT	,
contre	ADP	contre
le	DET	le
pere	NOUN	père
du	ADP.DET	de.le
dit	VERB	dire
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Montfort	NOUN	monttre
.	PUNCT	.
Item	X	item
,	PUNCT	,
en	ADP	en
celi	PRON	cel
an	ADP	en
,	PUNCT	,
ou	CCONJ	ou
mois	NOUN	mois
de	ADP	de
juing	NOUN	juidier
,	PUNCT	,
fu	VERB	estre
fait	VERB	faire
et	CCONJ	et
passé	NOUN	passer
un	DET	un
accort	VERB	accort
du	ADP.DET	de.le
roy	NOUN	roi
de	ADP	de
France	PROPN	france
,	PUNCT	,
d'	ADP	de
une	DET	un
part	NOUN	part
,	PUNCT	,
et	CCONJ	et
du	ADP.DET	de.le
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
,	PUNCT	,
d'	ADP	de
autre	ADJ	autre
,	PUNCT	,
de	ADP	de
la	DET	le
guerre	NOUN	guerre
que	SCONJ	que
ilz	PRON	il
ravoient	VERB	ravoir
commenciée	VERB	commencer
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
laquelle	DET	lequel
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
France	PROPN	france
avoit	VERB	avoir
fait	VERB	faire
prendre	VERB	prendre
Mante	ADJ	manter
et	CCONJ	et
Meullent	PROPN	meilleur
et	CCONJ	et
la	DET	le
contée	VERB	conter
de	ADP	de
Longueville	NOUN	longlement
.	PUNCT	.
Par	ADP	par
lequel	DET	lequel
accort	VERB	accort
le	DET	le
captal	NOUN	captel
de	ADP	de
Buech	PROPN	bouche
,	PUNCT	,
qui	PRON	qui
de	ADP	de
la	DET	le
ditte	VERB	dire
guerre	NOUN	guerre
avoit	VERB	avoir
esté	VERB	être
pris	NOUN	prendre
,	PUNCT	,
comme	SCONJ	comme
dessus	ADV	dessus
est	VERB	estre
dit	VERB	dire
,	PUNCT	,
fu	VERB	estre
du	ADP.DET	de.le
tout	DET	tout
delivré	VERB	delivrer
,	PUNCT	,
et	CCONJ	et
par	ADP	par
le	DET	le
dit	VERB	dire
accort	VERB	accort
devoient	VERB	devoir
demourer	VERB	demeurer
perpetuelment	NOUN	perpétuement
au	ADP.DET	a.le
roy	NOUN	roi
de	ADP	de
France	PROPN	france
les	DET	le
dites	VERB	dire
villes	NOUN	ville
de	ADP	de
Mante	ADJ	manter
et	CCONJ	et
de	ADP	de
Meullent	PROPN	meilleur
et	CCONJ	et
la	DET	le
dite	VERB	dire
contée	VERB	conter
de	ADP	de
Longueville	NOUN	longlement
,	PUNCT	,
laquelle	DET	lequel
le	DET	le
dit	VERB	dire
roy	NOUN	roi
de	ADP	de
France	PROPN	france
avoit	VERB	avoir
jà	ADV	jà
donnée	VERB	donner
à	ADP	à
messire	NOUN	seignor
Bertran	PROPN	bertran
du	ADP.DET	de.le
Guesclin	PROPN	galinguessel
,	PUNCT	,
pour	ADP	pour
la	DET	le
raençon	NOUN	rançon
du	ADP.DET	de.le
dit	VERB	dire
captal	NOUN	captel
,	PUNCT	,
lequel	DET	lequel
avoit	VERB	avoir
esté	VERB	être
prison	NOUN	prison
du	ADP.DET	de.le
dit	VERB	dire
messire	NOUN	seignor
Bertran	PROPN	bertran
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
dessus	ADV	dessus
est	VERB	estre
dit	VERB	dire
.	PUNCT	.
Et	CCONJ	et
le	DET	le
roy	NOUN	roi
de	ADP	de
Navarre	PROPN	navaror
dot	NOUN	doter
avoir	VERB	avoir
la	DET	le
ville	NOUN	ville
et	CCONJ	et
la	DET	le
baronnie	NOUN	baronnie
de	ADP	de
Montpellier	NOUN	montlepile
,	PUNCT	,
et	CCONJ	et
par	ADP	par
ce	PRON	ce
fu	VERB	estre
paix	NOUN	paix
criée	VERB	crïer
et	CCONJ	et
publiée	NOUN	puivre
entre	ADP	entre
les	DET	le
diz	NOUN	dire
roys	NOUN	roi
.	PUNCT	.
Comment	ADV	comment
messire	NOUN	seignor
Bertran	PROPN	bertran
du	ADP.DET	de.le
Guesclin	PROPN	galinguessel
mena	VERB	mener
