S'	PRO	se
honneste	NOUN	honnété
vierge	NOUN	vierge
Bauptheur	NOUN	bauthoup
par	ADP	par
mariage	NOUN	mariage
.	PUNCT	.
Laquelle	DET	lequel
,	PUNCT	,
enlumynee	NOUN	enluminer
de	ADP	de
la	DET	le
grace	NOUN	grace
divine	ADJ	divinir
,	PUNCT	,
ce	PRON	ce
retira	VERB	retirer
sougneusement	NOUN	songuement
de	ADP	de
ces	DET	ce
regardz	VERB	regard
et	CCONJ	et
ce	PRON	ce
cacha	VERB	cacher
secrettement	NOUN	sercenter
come	SCONJ	come
saige	ADJ	sage
pucelle	NOUN	pucelle
en	ADP	en
ung	DET	un
anglet	NOUN	angele
de	ADP	de
la	DET	le
maison	NOUN	maison
et	CCONJ	et
mist	VERB	metre
sur	ADP	sur
elle	PRON	elle
de	ADP	de
vielz	ADJ	vieux
drappeaulx	ADJ	draples
tellement	NOUN	tellement
que	SCONJ	que
nul	DET	nul
n'	ADV	ne
ust	VERB	uster
cuydé	VERB	cuidier
que	SCONJ	que
aulcung	DET	aucun
ce	PRON	ce
peust	VERB	pouvoir
la	DET	le
reposer	VERB	reposer
.	PUNCT	.
Et	CCONJ	et
puis	NOUN	puis
par	ADP	par
aulcungs	DET	aucun
ans	NOUN	an
s'	DET	soi
en	ADP	en
alla	VERB	aller
en	ADP	en
ung	DET	un
armytage	NOUN	armiter
,	PUNCT	,
car	CCONJ	car
come	SCONJ	come
prudente	NOUN	prudende
vierge	NOUN	vierge
fuyoit	VERB	fuir
les	DET	le
vainctz	VERB	venir
honneurs	NOUN	honneur
et	CCONJ	et
aymoyt	VERB	aimer
humilité	NOUN	humilité
et	CCONJ	et
chasteté	NOUN	chastet
et	CCONJ	et
desiroit	VERB	desirrer
tousjours	ADV	toujours
eschever	VERB	eschever
humain	ADJ	hommani
delict	NOUN	delit
ad	VERB	avoir
ce	PRON	ce
que	SCONJ	que
servit	VERB	servir
parvenir	VERB	parvenir
a	ADP	a
son	DET	son
espoulx	NOUN	espuse
celeste	NOUN	celer
.	PUNCT	.
Et	CCONJ	et
elle	PRON	elle
quise	VERB	querre
ne	ADV	ne
fut	VERB	être
trouvee	VERB	trouver
jusquez	VERB	jusque
ad	VERB	avoir
ce	PRON	ce
que	SCONJ	que
une	DET	un
aultre	ADJ	autre
fut	VERB	être
conjoincte	NOUN	conjéritement
audict	ADP.DET	à.ledit
prince	NOUN	prince
par	ADP	par
mariage	NOUN	mariage
.	PUNCT	.
On	PRON	on
peult	VERB	pouvoir
croyre	VERB	croire
que	SCONJ	que
tout	DET	tout
ce	PRON	ce
fut	VERB	être
faict	VERB	faire
par	ADP	par
la	DET	le
voulenté	NOUN	volonté
divine	ADJ	divinir
qui	PRON	qui
vouloit	VERB	vouloir
qu'	SCONJ	que
elle	PRON	elle
qui	PRON	qui
avoit	VERB	avoir
eschevé	VERB	eschever
les	DET	le
nopces	NOUN	nopce
du	ADP.DET	de.le
prince	NOUN	prince
print	VERB	prendre
en	ADP	en
mariage	NOUN	mariage
Clovys	PROPN	clovit
,	PUNCT	,
filz	NOUN	fil
du	ADP.DET	de.le
bon	ADJ	bon
roy	NOUN	roi
Dangobert	PROPN	damnage
,	PUNCT	,
ad	VERB	avoir
ce	PRON	ce
que	SCONJ	que
de	ADP	de
celle	DET	cil
qui	PRON	qui
estoit	VERB	estre
extraicte	VERB	extracier
de	ADP	de
royalle	NOUN	royalle
lignee	NOUN	lignée
que	SCONJ	que
royalle	NOUN	royalle
lignee	NOUN	lignée
en	ADP	en
yssit	VERB	issir
.	PUNCT	.
Elle	PRON	elle
obtint	NOUN	obtindre
si	ADV	si
grant	ADJ	grant
grace	NOUN	grace
de	ADP	de
Dieu	PROPN	dieu
que	SCONJ	que
nul	DET	nul
n'	ADV	ne
avoit	VERB	avoir
riens	NOUN	rien
affaire	NOUN	affaire
a	ADP	a
elle	PRON	elle
qui	PRON	qui
ne	ADV	ne
l'	DET	le
aymast	VERB	aimar
de	ADP	de
tout	DET	tout
son	DET	son
coeur	NOUN	coeur
.	PUNCT	.
Elle	PRON	elle
obeyssoit	VERB	obéir
au	ADP.DET	a.le
roy	NOUN	roi
come	SCONJ	come
a	ADP	a
son	DET	son
seigneur	NOUN	seigneur
,	PUNCT	,
aulx	ADP.DET	à.le
princes	NOUN	prince
ce	PRON	ce
monstroit	VERB	montrer
comme	SCONJ	comme
mere	NOUN	mere
,	PUNCT	,
aulx	ADP.DET	à.le
prebstres	NOUN	prefuster
come	SCONJ	come
fille	NOUN	fille
,	PUNCT	,
aux	ADP.DET	à.le
jeunes	ADJ	jeune
et	CCONJ	et
adolescens	NOUN	adlecier
come	SCONJ	come
piteuse	ADJ	pitos
norrice	NOUN	norrir
.	PUNCT	.
Elle	PRON	elle
estoit	VERB	estre
amyable	NOUN	amaillier
a	ADP	a
tous	DET	tout
en	ADP	en
aymant	VERB	aimer
les	DET	le
prebstres	NOUN	prefuster
come	SCONJ	come
sez	VERB	savoir
peres	NOUN	père
,	PUNCT	,
lez	DET	lez
moynes	NOUN	moine
come	SCONJ	come
sez	VERB	savoir
freres	NOUN	frere
,	PUNCT	,
lez	DET	lez
povres	ADJ	pauvre
come	SCONJ	come
ses	DET	son
domestiques	NOUN	dometion
,	PUNCT	,
lez	DET	lez
pelerins	NOUN	perlein
come	SCONJ	come
sez	VERB	savoir
enfant	NOUN	enfant
pensant	ADJ	penser
que	SCONJ	que
elle	PRON	elle
mesmes	ADJ	même
avoyt	VERB	avoir
esté	VERB	être
estrange	ADJ	estrange
.	PUNCT	.
Elle	PRON	elle
soustenoit	VERB	soutenir
lez	DET	lez
veufves	ADJ	vevoir
et	CCONJ	et
orphelins	NOUN	orpuille
et	CCONJ	et
aydoit	VERB	aider
a	ADP	a
tous	DET	tout
indigens	ADJ	indignet
.	PUNCT	.
Elle	PRON	elle
portoit	VERB	porter
honneur	NOUN	honneur
aulx	ADP.DET	à.le
princes	NOUN	prince
et	CCONJ	et
obtemperoit	VERB	obtembreté
voulentiers	ADV	volontiers
a	ADP	a
leur	DET	leur
conseil	NOUN	conseil
.	PUNCT	.
Et	CCONJ	et
tousjours	ADV	toujours
estoit	VERB	estre
en	ADP	en
prieres	NOUN	priier
vers	ADP	vers
le	DET	le
roy	NOUN	roi
pour	ADP	pour
lez	DET	lez
eglises	NOUN	église
et	CCONJ	et
pour	ADP	pour
lez	DET	lez
povres	ADJ	pauvre
,	PUNCT	,
car	CCONJ	car
,	PUNCT	,
combien	NOUN	combien
qu'	SCONJ	que
elle	PRON	elle
fut	VERB	être
en	ADP	en
habit	NOUN	habit
seculier	NOUN	seclire
,	PUNCT	,
desiroit	VERB	desirrer
de	ADP	de
tout	DET	tout
son	DET	son
coeur	NOUN	coeur
servir	VERB	servir
a	ADP	a
Dieu	PROPN	dieu
.	PUNCT	.
Et	CCONJ	et
ce	PRON	ce
recommandoit	VERB	recommander
continuellement	NOUN	continuellement
avecquez	ADP	avec
lermes	NOUN	larme
a	ADP	a
Jhesu	PROPN	jesus
Crist	PROPN	crist
,	PUNCT	,
roy	NOUN	roi
celeste	NOUN	celer
,	PUNCT	,
lequel	DET	lequel
selon	ADJ	selon
sa	DET	son
foy	NOUN	foi
et	CCONJ	et
devocion	NOUN	devocir
luy	PRON	lui
bailla	VERB	bailler
ung	DET	un
sainct	ADJ	saint
abbé	NOUN	abbé
,	PUNCT	,
nommé	VERB	nommer
Genesius	PROPN	genesuit
,	PUNCT	,
pour	ADP	pour
luy	PRON	lui
ayder	VERB	aidier
a	ADP	a
parfaire	NOUN	parfait
ce	PRON	ce
que	SCONJ	que
avoit	VERB	avoir
consceu	VERB	conscue
en	ADP	en
sa	DET	son
pancee	NOUN	penece
,	PUNCT	,
lequel	DET	lequel
estoit	VERB	estre
demourant	NOUN	demeurer
en	ADP	en
la	DET	le
court	NOUN	cour
,	PUNCT	,
puys	NOUN	puis
aprés	ADP	après
fut	VERB	être
ordonné	VERB	ordonner
evesque	NOUN	évêque
de	ADP	de
Lyon	PROPN	lïon
.	PUNCT	.
Par	ADP	par
lez	DET	lez
mains	NOUN	main
de	ADP	de
ce	PRON	ce
sainct	ADJ	saint
abbé	NOUN	abbé
paissoit	VERB	paistre
lez	DET	lez
povres	ADJ	pauvre
,	PUNCT	,
vestoit	VERB	vestir
de	ADP	de
vestemens	NOUN	vestement
lez	DET	lez
nudz	NOUN	nu
et	CCONJ	et
ordonnoit	VERB	ordonner
sougneusement	NOUN	songuement
de	ADP	de
ensepvelir	VERB	ensevlame
lez	DET	lez
mors	NOUN	mors
.	PUNCT	.
Elle	PRON	elle
envoyoit	VERB	envoyer
par	ADP	par
yceluy	DET	cil
aux	ADP.DET	à.le
abbayez	VERB	abbaye
de	ADP	de
religieulx	ADJ	religille
et	CCONJ	et
vierges	NOUN	verge
sacreez	VERB	savorer
grant	ADJ	grant
cantité	NOUN	chantité
d'	ADP	de
or	NOUN	or
et	CCONJ	et
d'	ADP	de
argent	NOUN	argent
.	PUNCT	.
Advint	PROPN	advenir
que	SCONJ	que
le	DET	le
roy	NOUN	roi
Clovys	PROPN	clovit
et	CCONJ	et
la	DET	le
royne	NOUN	roine
furent	VERB	estre
tant	ADV	tant
ensemble	ADV	ensemble
qu'	SCONJ	que
ilz	PRON	il
eurent	VERB	avoir
deulx	DET	deux
enfans	NOUN	enfant
.	PUNCT	.
Si	ADV	si
vint	VERB	venir
en	ADP	en
voulenté	NOUN	volonté
au	ADP.DET	a.le
roy	NOUN	roi
d'	ADP	de
aller	VERB	aller
en	ADP	en
pelerinage	NOUN	pelerin
en	ADP	en
la	DET	le
terre	NOUN	terre
d'	ADP	de
oultre	ADP	outre
mer	NOUN	mer
et	CCONJ	et
cela	DET	cela
sa	DET	son
pancee	NOUN	penece
a	ADP	a
la	DET	le
royne	NOUN	roine
tant	ADV	tant
que	SCONJ	que
elle	PRON	elle
mesmes	ADJ	même
s'	DET	soi
aparceut	VERB	apercevoir
qu'	SCONJ	que
il	PRON	il
estoit	VERB	estre
tourmenté	VERB	tourmente
en	ADP	en
son	DET	son
coeur	NOUN	coeur
d'	ADP	de
aulcune	DET	aucun
chose	NOUN	chose
secrette	NOUN	sercette
qu'	SCONJ	que
elle	PRON	elle
ne	ADV	ne
savoit	VERB	savoir
.	PUNCT	.
Advint	PROPN	advenir
ung	DET	un
jour	NOUN	jour
qu'	SCONJ	que
elle	PRON	elle
ce	PRON	ce
mist	VERB	metre
a	ADP	a
le	DET	le
arresonner	VERB	aroisner
par	ADP	par
telles	DET	tel
parolles	NOUN	parole
:	PUNCT	:
«	PUNCT	"
Tres	ADV	très
cher	ADJ	cher
amy	NOUN	ami
,	PUNCT	,
avez	VERB	avoir
vous	PRON	vous
point	NOUN	point
ouy	VERB	ouïr
une	DET	un
parolle	NOUN	parole
que	SCONJ	que
saige	ADJ	sage
Salon	PROPN	salon
dict	VERB	dire
que	SCONJ	que
tant	ADV	tant
que	SCONJ	que
le	DET	le
coeur	NOUN	coeur
de	ADP	de
l'	DET	le
espoulx	NOUN	espuse
se	PRON	se
fie	NOUN	fïer
en	ADP	en
sa	DET	son
loyalle	NOUN	loyalle
espouse	NOUN	espose
,	PUNCT	,
de	ADP	de
tant	ADV	tant
sera	VERB	estre
plus	ADV	plus
ayse	NOUN	aise
,	PUNCT	,
ne	ADV	ne
de	ADP	de
riens	NOUN	rien
n'	ADV	ne
aura	VERB	avoir
souffrette	NOUN	souffrer
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
vous	PRON	vous
me	PRON	je
deussiez	ADJ	deslöer
avoir	VERB	avoir
piessa	VERB	peise
descouvert	VERB	descovrir
la	DET	le
chose	NOUN	chose
dont	PRON	dont
je	PRON	je
vous	PRON	vous
voix	NOUN	voloir
si	ADV	si
pensif	NOUN	penser
et	CCONJ	et
si	ADV	si
tourmenté	VERB	tourmente
en	ADP	en
vostre	DET	vostre
coeur	NOUN	coeur
.	PUNCT	.
Tres	ADV	très
cher	ADJ	cher
sire	NOUN	seignor
,	PUNCT	,
descouvrés	VERB	descovrir
le	DET	le
moy	PRON	moi
tout	DET	tout
surement	NOUN	surement
,	PUNCT	,
car	CCONJ	car
sachés	VERB	savoir
certaynement	NOUN	certainement
que	SCONJ	que
,	PUNCT	,
ce	PRON	ce
c'	CCONJ	ce
est	VERB	estre
bien	NOUN	bien
,	PUNCT	,
je	PRON	je
le	DET	le
parferay	VERB	parfaire
et	CCONJ	et
y	ADV	y
adjouteray	VERB	ajouter
a	ADP	a
mon	DET	mon
povoir	NOUN	pouvoir
aulcune	DET	aucun
chose	NOUN	chose
de	ADP	de
bonté	NOUN	bonté
.	PUNCT	.
»	PUNCT	"
Quant	SCONJ	cant
le	DET	le
debonnayre	ADJ	debonainement
roy	NOUN	roi
Clovys	PROPN	clovit
eust	VERB	avoir
ouy	VERB	ouïr
le	DET	le
bon	ADJ	bon
admonnestement	NOUN	adomminer
de	ADP	de
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
,	PUNCT	,
en	ADP	en
eut	VERB	avoir
grant	ADJ	grant
joye	NOUN	joie
en	ADP	en
son	DET	son
coeur	NOUN	coeur
et	CCONJ	et
luy	PRON	lui
descouvrit	VERB	descovrir
tout	DET	tout
en	ADP	en
apart	NOUN	aparter
le	DET	le
proposement	NOUN	proposer
du	ADP.DET	de.le
devantdit	VERB	deventir
pelerinage	NOUN	pelerin
et	CCONJ	et
quant	SCONJ	cant
il	PRON	il
eut	VERB	avoir
tout	DET	tout
descouvert	VERB	descovrir
son	DET	son
conseil	NOUN	conseil
,	PUNCT	,
elle	PRON	elle
tendit	VERB	tendre
lez	DET	lez
mains	NOUN	main
vers	ADP	vers
le	DET	le
ciel	NOUN	ciel
et	CCONJ	et
dict	VERB	dire
:	PUNCT	:
«	PUNCT	"
Sire	NOUN	seignor
Dieu	PROPN	dieu
,	PUNCT	,
vostre	DET	vostre
non	NOUN	nom
soit	VERB	estre
benoist	VERB	benois
.	PUNCT	.
Ceulx	DET	cil
et	CCONJ	et
celles	DET	cil
qui	PRON	qui
ont	VERB	avoir
bone	ADJ	bon
esperance	NOUN	espérance
en	ADP	en
vous	PRON	vous
et	CCONJ	et
perceverent	VERB	percevalor
viennent	VERB	venir
a	ADP	a
perfection	NOUN	perfection
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
vous	PRON	vous
plaise	NOUN	plaie
par	ADP	par
vostre	DET	vostre
misericorde	NOUN	miséricorde
octroyer	VERB	octroyer
a	ADP	a
vostre	DET	vostre
serviteur	NOUN	serviteur
perseverance	NOUN	persévérer
en	ADP	en
son	DET	son
bon	ADJ	bon
propoz	NOUN	propos
et	CCONJ	et
qu'	SCONJ	que
il	PRON	il
puisse	VERB	pöoir
mectre	VERB	mettre
en	ADP	en
effect	NOUN	effet
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
a	ADP	a
encommencé	VERB	encommencer
en	ADP	en
sa	DET	son
pancee	NOUN	penece
.	PUNCT	.
»	PUNCT	"
Ne	CCONJ	ne
demoura	VERB	demeurer
guieres	NOUN	guire
aprés	ADP	après
ses	DET	son
choses	NOUN	chose
que	SCONJ	que
le	DET	le
roy	NOUN	roi
par	ADP	par
le	DET	le
conseil	NOUN	conseil
de	ADP	de
la	DET	le
saincte	ADJ	saint
royne	NOUN	roine
sa	DET	son
fame	NOUN	feme
fist	VERB	faire
assembler	VERB	assembler
tous	DET	tout
lez	DET	lez
princes	NOUN	prince
et	CCONJ	et
lez	DET	lez
barons	NOUN	baron
de	ADP	de
sa	DET	son
terre	NOUN	terre
pour	ADP	pour
disposer	VERB	disposer
au	ADP.DET	a.le
regime	NOUN	remire
et	CCONJ	et
gouvernement	NOUN	gouvernement
du	ADP.DET	de.le
royaulme	NOUN	royaume
de	ADP	de
France	PROPN	france
tant	ADV	tant
qu'	SCONJ	que
il	PRON	il
fust	VERB	estre
revenu	VERB	revenir
de	ADP	de
son	DET	son
pelerinage	NOUN	pelerin
.	PUNCT	.
Lez	DET	lez
barons	NOUN	baron
regarderent	VERB	regarder
et	CCONJ	et
considererent	VERB	considérer
la	DET	le
fragilité	NOUN	fraignile
de	ADP	de
humaine	ADJ	humain
nature	NOUN	nature
et	CCONJ	et
doubtoient	VERB	douter
moult	ADV	moult
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
revint	VERB	revenir
jamés	NOUN	jame
et	CCONJ	et
vindrent	VERB	venir
tous	DET	tout
ensamble	ADV	emsambel
au	ADP.DET	a.le
roy	NOUN	roi
et	CCONJ	et
luy	PRON	lui
prierent	VERB	prier
moult	ADV	moult
doulcement	NOUN	doucement
qu'	SCONJ	que
il	PRON	il
couronnast	VERB	couronner
son	DET	son
aisné	VERB	ainzé
filz	NOUN	fil
a	ADP	a
roy	NOUN	roi
affin	NOUN	afin
qu'	SCONJ	que
il	PRON	il
gardast	VERB	garder
la	DET	le
terre	NOUN	terre
et	CCONJ	et
le	DET	le
royaulme	NOUN	royaume
par	ADP	par
le	DET	le
bon	ADJ	bon
conseil	NOUN	conseil
de	ADP	de
la	DET	le
royne	NOUN	roine
sa	DET	son
mere	NOUN	mere
.	PUNCT	.
Le	DET	le
roy	NOUN	roi
vit	VERB	vëoir
bien	NOUN	bien
que	SCONJ	que
tout	DET	tout
le	DET	le
commung	ADJ	commun
consentement	NOUN	consenter
estoit	VERB	estre
ad	VERB	avoir
ce	PRON	ce
accordé	VERB	accorder
,	PUNCT	,
si	ADV	si
en	ADP	en
fit	VERB	faire
toute	DET	tout
leur	DET	leur
voulenté	NOUN	volonté
a	ADP	a
leur	DET	leur
priere	NOUN	priier
,	PUNCT	,
puys	NOUN	puis
ne	ADV	ne
demoura	VERB	demeurer
guieres	NOUN	guire
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
ce	PRON	ce
mist	VERB	metre
en	ADP	en
la	DET	le
voye	NOUN	voie
et	CCONJ	et
entreprint	VERB	entreprendre
le	DET	le
hault	ADJ	haut
pelerinage	NOUN	pelerin
qu'	SCONJ	que
il	PRON	il
avoit	VERB	avoir
tant	ADV	tant
desiré	VERB	desirrer
.	PUNCT	.
Quant	SCONJ	cant
la	DET	le
royne	NOUN	roine
eust	VERB	avoir
son	DET	son
tres	ADV	très
cher	ADJ	cher
seigneur	NOUN	seigneur
convoyé	VERB	convoiier
et	CCONJ	et
prins	NOUN	prendre
congé	NOUN	congé
de	ADP	de
luy	PRON	lui
en	ADP	en
plorant	VERB	plorer
,	PUNCT	,
elle	PRON	elle
recommanda	VERB	recommancer
a	ADP	a
Dieu	PROPN	dieu
son	DET	son
ame	NOUN	ame
et	CCONJ	et
son	DET	son
corps	NOUN	corps
.	PUNCT	.
Puis	NOUN	puis
s'	DET	soi
en	ADP	en
retourna	VERB	retourner
avecquez	ADP	avec
sez	VERB	savoir
enfans	NOUN	enfant
et	CCONJ	et
ce	PRON	ce
recommanda	VERB	recommancer
en	ADP	en
la	DET	le
garde	NOUN	garde
de	ADP	de
Nostre	DET	notre
Seigneur	NOUN	seigneur
