1400	NOUN	@card@
estoit	VERB	estre
ou	CCONJ	ou
eust	VERB	avoir
esté	VERB	être
obligiez	VERB	obliger
envers	ADP	envers
ycely	NOUN	cil
maistre	NOUN	maître
Jehan	PROPN	jean
,	PUNCT	,
ledit	DET	ledit
maistre	NOUN	maître
Jehan	PROPN	jean
me	PRON	je
dit	VERB	dire
que	SCONJ	que
onques	ADV	onque
n'	ADV	ne
en	ADP	en
avoit	VERB	avoir
baillié	VERB	baillier
denier	NOUN	denier
ne	ADV	ne
onques	ADV	onque
n'	ADV	ne
avoit	VERB	avoir
veu	VERB	voir
l'	DET	le
obligation	NOUN	obligation
,	PUNCT	,
s'	DET	soi
aucunne	DET	aucunne
avoit	VERB	avoir
fait	VERB	faire
ou	CCONJ	ou
fait	VERB	faire
faire	VERB	faire
ledit	DET	ledit
maistre	NOUN	maître
Loiz	PROPN	loi
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
à	ADP	à
la	DET	le
requeste	NOUN	requête
de	ADP	de
maistre	NOUN	maître
Oudart	ADJ	oudart
Gencian	PROPN	gencince
ay	VERB	avoir
enregistré	VERB	engretrer
,	PUNCT	,
outre	ADP	outre
ce	PRON	ce
que	SCONJ	que
je	PRON	je
enregistray	VERB	engretrier
ledit	DET	ledit
mercredi	NOUN	mercredi
passé	NOUN	passer
.	PUNCT	.
1401	NOUN	soupre
.	PUNCT	.
Lundi	PROPN	lundi
,	PUNCT	,
XXVe	ADJ	vingt-sance
jour	NOUN	jour
d'	ADP	de
avril	NOUN	avril
.	PUNCT	.
Precedentia	VERB	precedder
a	ADP	a
mense	NOUN	menes
novembris	NOUN	novrime
ultimo	NOUN	utisment
preterito	NOUN	pretité
registrata	VERB	régiter
fuerunt	VERB	fuer
per	NOUN	per
me	PRON	je
N	PUNCT	ne
.	PUNCT	.
de	ADP	de
Baye	PROPN	baie
,	PUNCT	,
grapharium	VERB	grapion
,	PUNCT	,
in	PRON	in
papiro	NOUN	papoir
,	PUNCT	,
propter	VERB	proprete
novitatem	NOUN	novrite
stili	VERB	tel
mei	PRON	moi
in	PRON	in
officio	NOUN	officion
,	PUNCT	,
grossata	VERB	grosper
per	NOUN	per
J	PRON	je
.	PUNCT	.
Hutini	PROPN	huitin
,	PUNCT	,
clericum	NOUN	clerchier
meum	DET	moume
,	PUNCT	,
sequentia	VERB	savoir
vero	NOUN	vëoir
manu	ADJ	manu
propria	VERB	propripoi
propter	VERB	proprete
adequalem	VERB	adbecer
assiduitatem	VERB	assivert
exercicii	VERB	exercin
.	PUNCT	.
/	PUNCT	en
Mercredi	PROPN	mercredi
,	PUNCT	,
IIIJe	DET	quatre
jour	NOUN	jour
de	ADP	de
may	NOUN	mai
,	PUNCT	,
au	ADP.DET	a.le
Conseil	NOUN	conseil
.	PUNCT	.
Aujourdui	PROPN	aujourd'hui
,	PUNCT	,
maistre	NOUN	maître
Symon	PROPN	simon
de	ADP	de
Nanterre	PROPN	nanter
,	PUNCT	,
conseiller	VERB	conseillier
du	ADP.DET	de.le
Roy	NOUN	roi
nostre	DET	notre
sire	NOUN	seignor
,	PUNCT	,
a	ADP	a
dit	VERB	dire
à	ADP	à
la	DET	le
Court	VERB	cour
que	SCONJ	que
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
l'	DET	le
avoit	VERB	avoir
envoié	VERB	envoyer
à	ADP	à
la	DET	le
Court	VERB	cour
dire	VERB	dire
que	SCONJ	que
les	DET	le
maistres	NOUN	maître
des	ADP.DET	de.le
Requestes	PROPN	requête
de	ADP	de
l'	DET	le
Ostel	NOUN	hôtel
du	ADP.DET	de.le
Roy	NOUN	roi
nostre	DET	notre
sire	NOUN	seignor
dessusdit	NOUN	dessus-dit
se	PRON	se
deportoient	VERB	deporter
et	CCONJ	et
delaissoient	VERB	délaisser
du	ADP.DET	de.le
procès	NOUN	proché
pendent	VERB	pendre
en	ADP	en
la	DET	le
Court	VERB	cour
devant	ADP	devant
dicte	VERB	dire
entre	ADP	entre
eulz	PRON	eux
,	PUNCT	,
d'	ADP	de
une	DET	un
part	NOUN	part
,	PUNCT	,
et	CCONJ	et
maistre	NOUN	maître
Gile	NOUN	gille
le	DET	le
Juesne	NOUN	juene
,	PUNCT	,
d'	ADP	de
autre	ADJ	autre
part	NOUN	part
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
m'	PRON	je
a	ADP	a
esté	VERB	être
enjoint	VERB	enjonir
que	SCONJ	que
je	PRON	je
enregistrasse	NOUN	engrestrer
.	PUNCT	.
Vendredi	VERB	vendredi
,	PUNCT	,
XXIIIJe	ADJ	vingt-quatre
jour	NOUN	jour
de	ADP	de
juin	NOUN	juin
,	PUNCT	,
feste	NOUN	fête
saint	ADJ	saint
Jehan	PROPN	jean
Baptiste	PROPN	batre
.	PUNCT	.
Ce	PRON	ce
jour	NOUN	jour
,	PUNCT	,
j'	PRON	je
eu	VERB	avoir
les	DET	le
bourses	NOUN	bourse
et	CCONJ	et
gages	NOUN	gage
de	ADP	de
l'	DET	le
audience	NOUN	audicenir
par	ADP	par
la	DET	le
mort	NOUN	mort
maistre	NOUN	maître
J	PRON	je
.	PUNCT	.
Bertaut	PROPN	berter
,	PUNCT	,
lesquelles	DET	lequel
furent	VERB	estre
et	CCONJ	et
sont	VERB	estre
annexées	NOUN	ennemee
à	ADP	à
l'	DET	le
office	NOUN	office
de	ADP	de
graphier	VERB	grapier
et	CCONJ	et
de	ADP	de
nouvel	DET	nouvel
.	PUNCT	.
Mardi	PROPN	mardi
,	PUNCT	,
XIJe	ADJ	signet
jour	NOUN	jour
de	ADP	de
juillet	VERB	gillet
.	PUNCT	.
Aujourdui	PROPN	aujourd'hui
,	PUNCT	,
la	DET	le
Court	VERB	cour
m'	PRON	je
a	ADP	a
enjoint	VERB	enjonir
que	SCONJ	que
je	PRON	je
enregistrasse	NOUN	engrestrer
la	DET	le
cedule	DET	cil
que	SCONJ	que
me	PRON	je
bailleroit	VERB	bailler
maistre	NOUN	maître
Jehan	PROPN	jean
de	ADP	de
Cessieres	NOUN	cesser
,	PUNCT	,
dont	PRON	dont
la	DET	le
teneur	NOUN	tenir
s'	DET	soi
ensuit	VERB	ensuit
:	PUNCT	:
Jehan	PROPN	jean
de	ADP	de
Cessieres	NOUN	cesser
,	PUNCT	,
notaire	VERB	natrenie
du	ADP.DET	de.le
Roy	NOUN	roi
nostre	DET	notre
sire	NOUN	seignor
et	CCONJ	et
graphier	VERB	grapier
criminel	NOUN	criminel
de	ADP	de
Parlement	NOUN	parlement
,	PUNCT	,
dit	VERB	dire
que	SCONJ	que
ou	CCONJ	ou
moiz	NOUN	moi
de	ADP	de
may	NOUN	mai
,	PUNCT	,
l'	DET	le
an	ADP	en
mil	DET	mil
CCC	DET	cect
IIIIxx	DET	quatre
et	CCONJ	et
X	DET	deux
,	PUNCT	,
certain	ADJ	certain
arrest	NOUN	arrêt
fut	VERB	être
pronuncé	VERB	proncinon
en	ADP	en
Parlement	NOUN	parlement
par	ADP	par
la	DET	le
bouche	NOUN	bouche
de	ADP	de
feu	NOUN	feu
maistre	NOUN	maître
Symon	PROPN	simon
Fryson	NOUN	frois
,	PUNCT	,
lors	ADV	lors
president	VERB	prendre
en	ADP	en
Parlement	NOUN	parlement
,	PUNCT	,
pour	ADP	pour
le	DET	le
procureur	NOUN	procureur
de	ADP	de
monsr	NOUN	monseigneur
le	DET	le
Dauphin	PROPN	dachoin
de	ADP	de
Viennoiz	ADJ	venir
et	CCONJ	et
le	DET	le
marchiz	NOUN	marchi
de	ADP	de
Saluce	NOUN	salüer
à	ADP	à
l'	DET	le
encontre	ADP	encontre
du	ADP.DET	de.le
conte	NOUN	comte
de	ADP	de
Savoye	VERB	savoir
,	PUNCT	,
et	CCONJ	et
lors	ADV	lors
maistre	NOUN	maître
Jehan	PROPN	jean
Jouvence	PROPN	jouvenceau
estoit	VERB	estre
graphier	VERB	grapier
dudit	ADP.DET	de.ledit
Parlement	NOUN	parlement
,	PUNCT	,
lequel	DET	lequel
avoit	VERB	avoir
le	DET	le
registre	VERB	régiter
et	CCONJ	et
procès	NOUN	proché
dudit	ADP.DET	de.ledit
arrest	NOUN	arrêt
.	PUNCT	.
Et	CCONJ	et
avint	VERB	avenir
que	SCONJ	que
ou	CCONJ	ou
moiz	NOUN	moi
de	ADP	de
juillet	VERB	gillet
ensuivant	VERB	ensuivre
ou	CCONJ	ou
environ	ADP	environ
,	PUNCT	,
ledit	DET	ledit
Jouvence	PROPN	jouvenceau
ala	VERB	aler
de	ADP	de
vie	NOUN	vie
à	ADP	à
trespassement	NOUN	trespassement
.	PUNCT	.
Dit	VERB	dire
outre	ADP	outre
que	SCONJ	que
quant	SCONJ	cant
le	DET	le
Parlement	NOUN	parlement
ensuivant	VERB	ensuivre
fu	VERB	estre
encommencé	VERB	encommencer
,	PUNCT	,
le	DET	le
procureur	NOUN	procureur
et	CCONJ	et
les	DET	le
gens	NOUN	gens
dudit	ADP.DET	de.ledit
marchiz	NOUN	marchi
firent	VERB	faire
grant	ADJ	grant
poursuite	VERB	poursuite
en	ADP	en
Parlement	NOUN	parlement
,	PUNCT	,
afin	NOUN	afin
qu'	SCONJ	que
il	PRON	il
eussent	VERB	avoir
ledit	DET	ledit
arrest	NOUN	arrêt
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
les	DET	le
rapporteurs	NOUN	rapporter
ne	ADV	ne
voudrent	VERB	voloir
pas	NOUN	pas
prenre	NOUN	prendre
la	DET	le
peinne	NOUN	peine
de	ADP	de
faire	VERB	faire
ledit	DET	ledit
arrest	NOUN	arrêt
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
grant	ADJ	grant
et	CCONJ	et
laborieux	ADJ	labroil
,	PUNCT	,
la	DET	le
Court	VERB	cour
ordonna	VERB	ordonner
que	SCONJ	que
ledit	DET	ledit
arrest	NOUN	arrêt
seroit	VERB	estre
fait	VERB	faire
par	ADP	par
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
,	PUNCT	,
auquel	ADP.PRON	à.lequel
furent	VERB	estre
baillées	NOUN	bailler
les	DET	le
besoignes	NOUN	besoignier
pour	ADP	pour
ce	PRON	ce
necessaires	ADJ	nécessaire
,	PUNCT	,
lequel	DET	lequel
de	ADP	de
Cessieres	NOUN	cesser
fit	VERB	faire
la	DET	le
minute	DET	minute
dudit	ADP.DET	de.ledit
arrest	NOUN	arrêt
et	CCONJ	et
la	DET	le
bailla	VERB	bailler
à	ADP	à
veoir	VERB	vëoir
à	ADP	à
aucuns	DET	aucun
seigneurs	NOUN	seigneur
dudit	ADP.DET	de.ledit
Parlement	NOUN	parlement
.	PUNCT	.
Et	CCONJ	et
ce	PRON	ce
fait	VERB	faire
,	PUNCT	,
à	ADP	à
un	DET	un
matin	NOUN	matin
,	PUNCT	,
ledit	DET	ledit
maistre	NOUN	maître
Symon	PROPN	simon
prist	VERB	prendre
avecques	ADP	avec
lui	PRON	lui
plusieurs	DET	plusieurs
de	ADP	de
messieurs	NOUN	messuit
dudit	ADP.DET	de.ledit
Parlement	NOUN	parlement
,	PUNCT	,
lesquelz	DET	lequel
furent	VERB	estre
assemblez	VERB	assembler
en	ADP	en
la	DET	le
Tournelle	PROPN	tournelle
Criminelle	PROPN	crimille
,	PUNCT	,
et	CCONJ	et
illecques	ADV	illuec
fut	VERB	être
leu	NOUN	lieu
et	CCONJ	et
corrigié	VERB	corroiier
ledit	DET	ledit
arrest	NOUN	arrêt
par	ADP	par
grant	ADJ	grant
deliberacion	NOUN	délibéracie
,	PUNCT	,
et	CCONJ	et
y	ADV	y
entendirent	VERB	entendre
nosdiz	DET	notir
seigneurs	NOUN	seigneur
jucques	ADP	jusque
à	ADP	à
tant	ADV	tant
qu'	SCONJ	que
il	PRON	il
fut	VERB	être
heure	NOUN	heure
d'	ADP	de
eulz	PRON	eux
partir	VERB	partir
;	PUNCT	;
et	CCONJ	et
faisoient	VERB	faire
les	DET	le
gens	NOUN	gens
dudit	ADP.DET	de.ledit
marchiz	NOUN	marchi
grant	ADJ	grant
et	CCONJ	et
aspre	NOUN	aspre
diligence	NOUN	diligence
en	ADP	en
la	DET	le
poursuite	VERB	poursuite
dudit	ADP.DET	de.ledit
arrest	NOUN	arrêt
,	PUNCT	,
lequel	DET	lequel
arrest	NOUN	arrêt
fu	VERB	estre
grossé	NOUN	grosser
deux	DET	deux
foiz	NOUN	foi
et	CCONJ	et
baillié	VERB	baillier
aux	ADP.DET	à.le
gens	NOUN	gens
dudit	ADP.DET	de.ledit
marquiz	ADJ	marqui
,	PUNCT	,
signé	VERB	signer
du	ADP.DET	de.le
seing	NOUN	seignor
dudit	ADP.DET	de.ledit
de	ADP	de
Cessieres	NOUN	cesser
.	PUNCT	.
Lesquelz	DET	lequel
dirent	VERB	dire
audit	ADV	à.ledit
de	ADP	de
Cessieres	NOUN	cesser
,	PUNCT	,
environ	ADP	environ
II	ADJ	it
jours	NOUN	jour
après	ADV	après
,	PUNCT	,
que	SCONJ	que
l'	DET	le
un	DET	un
de	ADP	de
leurs	DET	leur
diz	NOUN	dire
arrests	NOUN	arrêt
estoit	VERB	estre
seellé	VERB	scellé
en	ADP	en
las	ADJ	las
de	ADP	de
soie	NOUN	estre
et	CCONJ	et
cire	NOUN	cire
vert	ADJ	vert
,	PUNCT	,
et	CCONJ	et
faisoient	VERB	faire
faire	VERB	faire
au	ADP.DET	a.le
devant	ADP	devant
du	ADP.DET	de.le
Chastellet	PROPN	châtelet
de	ADP	de
Paris	PROPN	paris
une	DET	un
longue	ADJ	long
layecte	NOUN	laiemette
,	PUNCT	,
à	ADP	à
la	DET	le
mesure	NOUN	mesure
dudit	ADP.DET	de.ledit
arrest	NOUN	arrêt
,	PUNCT	,
fermant	NOUN	ferment
à	ADP	à
clef	NOUN	clef
pour	ADP	pour
le	DET	le
garder	VERB	garder
plus	ADV	plus
seurement	NOUN	sûrement
et	CCONJ	et
nettement	ADV	neter
,	PUNCT	,
et	CCONJ	et
prierent	VERB	prier
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
à	ADP	à
grant	ADJ	grant
instance	NOUN	instance
qu'	SCONJ	que
il	PRON	il
feist	VERB	faire
l'	DET	le
executoire	NOUN	exceuture
dudit	ADP.DET	de.ledit
arrest	NOUN	arrêt
,	PUNCT	,
lequel	DET	lequel
leur	DET	leur
respondit	VERB	répondre
que	SCONJ	que
l'	DET	le
exécution	NOUN	exécution
se	PRON	se
devoit	VERB	devoir
faire	VERB	faire
hors	ADV	hors
du	ADP.DET	de.le
royaume	NOUN	royaume
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
il	PRON	il
eussent	VERB	avoir
adviz	NOUN	avis
à	ADP	à
leur	DET	leur
conseil	NOUN	conseil
comment	ADV	comment
exécutoire	NOUN	extectore
se	PRON	se
feroit	VERB	faire
et	CCONJ	et
à	ADP	à
qui	PRON	qui
s'	DET	soi
adresseroit	VERB	adresser
,	PUNCT	,
et	CCONJ	et
sur	ADP	sur
ce	PRON	ce
on	PRON	on
parleroit	VERB	parler
à	ADP	à
la	DET	le
Court	VERB	cour
,	PUNCT	,
qui	PRON	qui
en	ADP	en
ordonneroit	VERB	ordonner
,	PUNCT	,
et	CCONJ	et
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
feroit	VERB	faire
volentiers	ADV	volentiers
ce	PRON	ce
qui	PRON	qui
en	ADP	en
seroit	VERB	estre
ordonné	VERB	ordonner
.	PUNCT	.
Item	X	item
,	PUNCT	,
dit	VERB	dire
que	SCONJ	que
le	DET	le
lendemain	NOUN	lendemain
ou	CCONJ	ou
environ	ADP	environ
,	PUNCT	,
un	DET	un
homme	NOUN	homme
vestu	VERB	vestir
à	ADP	à
guise	NOUN	guise
d'	ADP	de
escuier	NOUN	escuier
parla	VERB	parler
audit	ADV	à.ledit
de	ADP	de
Cessieres	NOUN	cesser
au	ADP.DET	a.le
devant	ADP	devant
de	ADP	de
la	DET	le
maison	NOUN	maison
d'	ADP	de
un	DET	un
potier	ADJ	potier
d'	ADP	de
estain	NOUN	estre
emprès	NOUN	emprès
la	DET	le
porte	NOUN	porte
du	ADP.DET	de.le
Palaiz	VERB	palais
,	PUNCT	,
et	CCONJ	et
lui	PRON	lui
demanda	VERB	demander
se	PRON	se
l'	DET	le
arrest	NOUN	arrêt
de	ADP	de
Savoye	VERB	savoir
et	CCONJ	et
de	ADP	de
Saluces	PROPN	salüer
estoit	VERB	estre
fait	VERB	faire
,	PUNCT	,
auquel	ADP.PRON	à.lequel
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
respondi	VERB	respondre
que	SCONJ	que
oïl	NOUN	öil
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
il	PRON	il
estoit	VERB	estre
baillié	VERB	baillier
auz	NOUN	autre
gens	NOUN	gens
du	ADP.DET	de.le
marquiz	ADJ	marqui
,	PUNCT	,
lesquelz	DET	lequel
l'	DET	le
avoient	VERB	avoir
fait	VERB	faire
seeller	VERB	sceller
,	PUNCT	,
si	ADV	si
comme	SCONJ	comme
l'	DET	le
en	ADP	en
disoit	VERB	dire
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
ledit	DET	ledit
homme	NOUN	homme
se	PRON	se
disoit	VERB	dire
estre	VERB	estre
au	ADP.DET	a.le
conte	NOUN	comte
de	ADP	de
Savoie	VERB	savoir
,	PUNCT	,
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
ly	DET	le
demanda	VERB	demander
se	PRON	se
il	PRON	il
en	ADP	en
vouloit	VERB	vouloir
avoir	VERB	avoir
le	DET	le
double	NOUN	double
,	PUNCT	,
lequel	DET	lequel
ne	ADV	ne
respondi	VERB	respondre
rien	NOUN	rien
et	CCONJ	et
se	PRON	se
frappa	NOUN	farpe
de	ADP	de
sa	DET	son
paume	NOUN	paume
ou	CCONJ	ou
front	NOUN	front
,	PUNCT	,
et	CCONJ	et
à	ADP	à
tant	ADV	tant
se	PRON	se
parti	VERB	partir
hastivement	NOUN	hastivement
.	PUNCT	.
Et	CCONJ	et
assez	ADV	assez
tost	DET	tost
après	ADV	après
vint	VERB	venir
un	DET	un
sergent	NOUN	sergent
d'	ADP	de
armes	NOUN	arme
qui	PRON	qui
défendi	VERB	defendre
de	ADP	de
par	ADP	par
le	DET	le
Roy	NOUN	roi
audit	ADV	à.ledit
de	ADP	de
Cessieres	NOUN	cesser
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
baillast	NOUN	bailler
pas	NOUN	pas
ledit	DET	ledit
executoire	NOUN	exceuture
,	PUNCT	,
et	CCONJ	et
pareillement	ADV	pareillement
l'	DET	le
un	DET	un
des	ADP.DET	de.le
serviteurs	NOUN	serviteur
de	ADP	de
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
vint	VERB	venir
faire	VERB	faire
défense	NOUN	defendre
audit	ADV	à.ledit
de	ADP	de
Cessieres	NOUN	cesser
de	ADP	de
par	ADP	par
ledit	DET	ledit
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
.	PUNCT	.
Et	CCONJ	et
,	PUNCT	,
le	DET	le
lendemain	NOUN	lendemain
,	PUNCT	,
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
ala	VERB	aler
à	ADP	à
la	DET	le
Chancellerie	PROPN	chanceleler
pour	ADP	pour
savoir	VERB	savoir
la	DET	le
verité	NOUN	vérité
de	ADP	de
ladicte	DET	ledit
defense	NOUN	defendre
,	PUNCT	,
et	CCONJ	et
oy	VERB	öir
par	ADP	par
la	DET	le
bouche	NOUN	bouche
dudit	ADP.DET	de.ledit
monsr	NOUN	monseigneur
le	DET	le
Chancellier	VERB	chancelier
que	SCONJ	que
ladicte	DET	ledit
defense	NOUN	defendre
avoit	VERB	avoir
esté	VERB	être
commandée	VERB	commander
à	ADP	à
faire	VERB	faire
par	ADP	par
le	DET	le
Roy	NOUN	roi
nostre	DET	notre
sire	NOUN	seignor
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
ledit	DET	ledit
de	ADP	de
Cessieres	NOUN	cesser
dist	VERB	dire
aux	ADP.DET	à.le
gens	NOUN	gens
dudit	ADP.DET	de.ledit
marquiz	ADJ	marqui
,	PUNCT	,
qui	PRON	qui
le	DET	le
poursuyoient	VERB	poursuivre
moult	ADV	moult
fort	ADJ	fort
et	CCONJ	et
asprement	NOUN	assemprer
,	PUNCT	,
que	SCONJ	que
ilz	PRON	il
le	DET	le
laissassent	VERB	laisser
en	ADP	en
paix	NOUN	paix
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
leur	DET	leur
povoit	VERB	pouvoir
faire	VERB	faire
ladicte	DET	ledit
executoire	NOUN	exceuture
pour	ADP	pour
les	DET	le
defenses	NOUN	defense
dessusdictes	ADJ	dessus-dit
,	PUNCT	,
et	CCONJ	et
atant	VERB	atendre
se	PRON	se
departirent	VERB	departir
.	PUNCT	.
Dit	VERB	dire
outre	ADP	outre
que	SCONJ	que
depuiz	VERB	depuis
ce	PRON	ce
il	PRON	il
a	ADP	a
veu	VERB	voir
plusieurs	DET	plusieurs
foiz	NOUN	foi
un	DET	un
nommé	VERB	nommer
George	PROPN	garoger
qui	PRON	qui
poursuioit	VERB	poursuivre
la	DET	le
besoigne	NOUN	besoignier
pour	ADP	pour
ledit	DET	ledit
marquiz	ADJ	marqui
,	PUNCT	,
lequel	DET	lequel
se	PRON	se
plaignoit	VERB	plaindre
moult	ADV	moult
fort	ADJ	fort
de	ADP	de
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
povoit	VERB	pouvoir
avoir	VERB	avoir
ladicte	DET	ledit
executoire	NOUN	exceuture
,	PUNCT	,
obstant	NOUN	obterd
les	DET	le
defenses	NOUN	defense
dessusdictes	ADJ	dessus-dit
,	PUNCT	,
et	CCONJ	et
plus	ADV	plus
ne	ADV	ne
scet	VERB	savoir
.	PUNCT	.
Item	X	item
,	PUNCT	,
le	DET	le
XIIIIe	ADJ	suiter
jour	NOUN	jour
de	ADP	de
juing	NOUN	juidier
derrienement	ADV	drenerement
passé	NOUN	passer
,	PUNCT	,
comparurent	VERB	comparer
en	ADP	en
la	DET	le
Court	VERB	cour
messire	NOUN	seignor
Jaques	PROPN	jacques
de	ADP	de
Saint	ADJ	saint
Germain	PROPN	germain
,	PUNCT	,
procureur	NOUN	procureur
fiscal	NOUN	filsauc
du	ADP.DET	de.le
Dauphiné	PROPN	däaucier
,	PUNCT	,
et	CCONJ	et
George	PROPN	garoger
Ravyol	PROPN	ravoir
,	PUNCT	,
escuier	NOUN	escuier
,	PUNCT	,
procureur	NOUN	procureur
de	ADP	de
monsr	NOUN	monseigneur
le	DET	le
marquiz	ADJ	marqui
de	ADP	de
Saluces	PROPN	salüer
,	PUNCT	,
qui	PRON	qui
presenterent	NOUN	presenter
leur	DET	leur
requeste	NOUN	requête
,	PUNCT	,
lequel	DET	lequel
procureur	NOUN	procureur
fiscal	NOUN	filsauc
du	ADP.DET	de.le
Dauphiné	PROPN	däaucier
,	PUNCT	,
après	ADV	après
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
eut	VERB	avoir
recité	VERB	réciter
l'	DET	le
arrest	NOUN	arrêt
pieça	NOUN	pieçe
donné	VERB	donner
pour	ADP	pour
le	DET	le
procureur	NOUN	procureur
du	ADP.DET	de.le
Dauphiné	PROPN	däaucier
et	CCONJ	et
le	DET	le
marquiz	ADJ	marqui
de	ADP	de
Saluces	PROPN	salüer
contre	ADP	contre
le	DET	le
