form	upos	lemma
accusacion	NOUN	accusation
accusacions	NOUN	accusation
accusation	NOUN	accuter
accusé	VERB	accuser
accusee	VERB	accuser
accusees	VERB	accuser
accuseit	VERB	accuser
accusent	VERB	accuser
accuser	VERB	accuser
accusés	VERB	accuser
accusez	VERB	accuser
aceine	NOUN	aceinier
aceméément	NOUN	amecée
acertainé	VERB	acertentir
acesmée	VERB	acesmer
aceste	NOUN	acheste
acestes	PROPN	aceste
acháb	PROPN	abcher
achainte	VERB	achenetier
achaintriere	NOUN	achentier
achaisenus	NOUN	achesaince
achaisuns	NOUN	achessine
achaptee	VERB	acheter
achaptoit	VERB	acheter
achatad	VERB	achater
áchatassent	VERB	château
achatássent	VERB	achetentir
achatat	VERB	achater
áchatéé	NOUN	chateaut
achaterés	NOUN	acceter
achatés	VERB	acheter
achatestes	NOUN	acheter
achatéz	VERB	acheter
achattant	VERB	achater
achaye	PROPN	achäier
achaÿe	PROPN	acheau
acház	NOUN	acche
ácház	NOUN	ches
achazie	PROPN	achaisier
áchazie	NOUN	chastier
achazíe	PROPN	acheper
achazies	PROPN	achestie
acheisons	NOUN	ochaison
achemannestrate	VERB	accemener
acheminay	VERB	acheminer
achemynèrent	VERB	acheminer
acheptés	VERB	acceter
achesmerent	VERB	achemestrer
acheson	NOUN	achesson
achesun	NOUN	achessun
achetrez	VERB	acheter
achettés	VERB	accoiter
achevyr	VERB	achevir
achiever	VERB	achever
achillés	PROPN	acilles
achilocie	PROPN	accilier
achilón	PROPN	acilin
achilud	PROPN	acilic
achilúd	VERB	acilin
achís	NOUN	acche
achitofél	PROPN	accoitle
acoeillent	VERB	acoillir
acoille	VERB	acoillir
acoillent	VERB	acoillir
acoilles	NOUN	acoillir
acoilloient	VERB	acoillir
acointastez	NOUN	acointer
acoleir	VERB	acoler
acoléz	VERB	acoler
acolle	VERB	acclel
acompagnee	VERB	acompagnier
acompagnée	VERB	acompagner
acompaigner	VERB	acompagnier
acompaignerent	VERB	acompagnier
acompaignies	NOUN	acompagnier
acompaingnie	PROPN	acompagnier
acompaingniés	NOUN	acompagnier
acomparagie	VERB	acomparier
acomplez	VERB	accompler
acomplieroye	VERB	acomplir
acompliray	VERB	acomplir
acompte	NOUN	acompter
aconita	VERB	acointier
aconitane	NOUN	acontiner
aconpaingnes	NOUN	acompagnier
aconplie	VERB	accomplir
aconsivra	VERB	acosnition
aconsivront	VERB	aconsivre
aconstumat	NOUN	acontremonde
aconstumeie	VERB	acostinement
aconstumeit	VERB	acontremonde
aconsurent	VERB	aconsler
acontees	VERB	aconter
acontées	VERB	aconter
aconurent	VERB	acouncir
acord	NOUN	acorder
acordait	VERB	acorder
acordase	VERB	acorder
acordeer	VERB	acorder
acordeez	VERB	acorder
acorderenttuit	VERB	acorderdire
acordés	VERB	acorder
acordissiez	VERB	acosdrisier
acorot	VERB	acorter
acorurent	VERB	acorre
acouchee	VERB	accoucher
acouchemens	NOUN	accombre
acoudez	VERB	acocer
acoulant	VERB	acoler
acoumenie	VERB	acomecion
acountra	VERB	acoutrer
acoureurent	VERB	acorer
acouri	VERB	acorir
acouroient	VERB	acorer
acouroit	VERB	acorer
acourons	VERB	acoroistre
acouru	VERB	acoreu
acoururent	VERB	acorreur
acoustumance	NOUN	accoutumer
acoustumances	NOUN	accoutumer
acoustumanche	NOUN	accoutumer
acoustumée	VERB	accoutumer
acoustumés	VERB	accoutumer
acoutés	VERB	acouter
acqueillent	VERB	acoillir
acquenee	VERB	acquéence
acquenees	VERB	accointe
acqueroient	VERB	acquérir
acqueroit	VERB	acquérir
acquerre	VERB	acquerre
acquerroit	VERB	acquérir
acquerront	VERB	accorder
acques	ADV	acquel
acquest	VERB	acquérir
acquester	VERB	acquérir
acquier	VERB	acquérir
acquiere	VERB	acquérir
acquierent	VERB	acquérir
acquièrent	VERB	acquérir
acquiers	NOUN	acquérir
acquiert	VERB	acquérir
acquigny	PROPN	accuidrin
acquirent	VERB	acquérir
acquise	VERB	acquérir
acquises	VERB	acquérir
acquist	VERB	acquérir
acquit	VERB	acquérir
acquita	VERB	acquétir
acquitaine	NOUN	acquaitiquire
acquite	VERB	acquétir
acquitee	VERB	acquitter
acquiterent	VERB	acquétire
acquitez	VERB	acquétir
acquitié	VERB	acquétir
acquittant	VERB	acquéttre
acquitte	VERB	acquitter
acquitter	VERB	acquéttre
acquittés	VERB	acquéttre
acquittez	VERB	acquitter
acquittier	VERB	acquitter
acquittiés	VERB	acquitter
acquittiez	VERB	acquitter
acquittoient	VERB	acquéttre
acquittoit	VERB	acquéttre
acquiz	VERB	acquérir
acravanter	VERB	accranter
acraventerres	NOUN	accreranter
acraventet	VERB	accreanter
acreis	VERB	acresir
acreissad	VERB	acressir
acreist	VERB	acrestier
acreistereit	VERB	accrerierete)
ácréistre	NOUN	certre
acrestre	VERB	acrester
acreü	VERB	acroire
ácreüd	VERB	cerroid
acreut	VERB	acreoir
acroche	VERB	accrocher
acroie	VERB	acroiier
acroissent	VERB	acroistre
acroissoit	VERB	acroistre
acroist	VERB	acroistre
acroit	VERB	acroit
acrut	VERB	acroire
actaint	VERB	attantir
actaintes	NOUN	attentife
actempranche	VERB	attemprer
actemptas	NOUN	attemper
actempté	NOUN	attemper
actend	VERB	attendre
actendent	VERB	attendre
actendez	VERB	attendre
actendoit	VERB	attendre
actendrez	VERB	attendre
actendroye	VERB	attencendre
actendu	VERB	attendre
actens	NOUN	actent
actente	PROPN	attente
acteur	NOUN	acteur
actient	VERB	actentir
activement	NOUN	actointement
actraiant	VERB	attrachier
actraire	VERB	attrachier
actrait	NOUN	actret
actrempee	VERB	atrempter
actum	PROPN	atmout
acueill	PROPN	acoillir
acuellent	VERB	acoillir
acuelli	VERB	acoillir
acuelliez	VERB	acoillir
acuillent	VERB	acuillir
acuillirent	VERB	acoillir
acuilly	VERB	aucillir
ácuintez	VERB	cuider
acuités	VERB	acoitier
áculche	VERB	cuchel
acullé	VERB	acluier
acumencét	VERB	accumement
acumpaigna	VERB	accumantir
acumpaignierent	VERB	accumandire
acumpli	VERB	acmulier
ácumpli	VERB	complai
acumplíd	NOUN	accumbler
ácumplíe	VERB	complaire
acumplirez	VERB	accomplir
acumungement	NOUN	acommumer
acumunja	VERB	accommagunir
acumunjement	NOUN	acommumquerion
acuns	VERB	accune
ácunte	NOUN	conter
acuntéd	VERB	aconttre
acuntét	VERB	acconté
acuntum	VERB	acontumit
acuplérent	VERB	acclerier
acupléz	VERB	acclér
acuragéé	VERB	acorger
acuragéément	NOUN	aucrager
acuragiez	VERB	accoragier
ácuréit	NOUN	cureftre
acururent	VERB	accordorer
acusat	NOUN	accuser
acusés	VERB	acuser
acustomee	VERB	accoutemont
acustomez	VERB	aucumton
acustume	NOUN	aucumcier
acustumément	NOUN	aucumpédement
acustumerent	VERB	aucurcement
ácustumez	VERB	custuce
acustumiere	NOUN	aucuthuressent
acuylli	VERB	aucillir
acy	PROPN	aci
ád	ADP	de
adalí	PROPN	adacle
adcertené	VERB	adcerter
adcertenez	VERB	adcerter
addo	PROPN	dadon
ade	NOUN	avoir
adebonnairir	VERB	abedornable
adeiset	VERB	adiet
adeist	VERB	adisier
adelstan	ADP	adelendre
ademplirai	VERB	amblerier
adequalem	VERB	adbecer
aderans	ADJ	adreandre
adercent	VERB	adrecier
adersoit	VERB	adersir
adesement	ADV	adesembre
ádetid	NOUN	detidre
adéz	NOUN	adéz
adfin	ADV	afin
adgar	PROPN	agarde
adhérans	NOUN	adesmarzer
adherens	NOUN	adercer
adhérens	NOUN	adescer
adherer	VERB	adercer
adhesion	NOUN	adhession
adieu	PROPN	adieu
adieu	NOUN	adieu
adirés	NOUN	adirer
ádirez	VERB	dire
adiue	NOUN	adieu
adjacens	NOUN	adcacer
adjoins	ADV	adjois
adjorné	VERB	adorner
adjornemens	NOUN	adroment
adjornement	NOUN	adromenter
adjourna	VERB	adoucir
adjourne	NOUN	adoujer
adjournemens	VERB	adoucher
adjournement	ADV	adoucer
adjourner	VERB	atorner
adjousté	VERB	ajouter
adjoustee	VERB	ajouter
adjoustees	VERB	ajouter
adjousteroit	VERB	ajouter
adjoustoit	VERB	ajouter
adjouteray	VERB	ajouter
adjouxtent	VERB	adouter
adjudication	NOUN	addécuidire
adjuga	VERB	adjauge
adjuge	VERB	ajjuge
adjugerent	VERB	adjéjourder
adjugié	VERB	adjéjuir
adjugiée	VERB	adjéjure
adjutur	NOUN	adteurd
admena	VERB	amener
admenast	VERB	amener
admené	VERB	amener
admenee	VERB	amener
admener	VERB	amener
admenerent	VERB	amener
admenez	VERB	amener
admenisteresse	NOUN	andemité
admenoit	VERB	amender
administera	VERB	amidiers
administracion	NOUN	administration
administrateur	NOUN	adminité
administrateurs	NOUN	adminité
administration	NOUN	adminité
administratores	NOUN	andisatiser
administrée	NOUN	adminir
administrés	NOUN	adminir
admirable	NOUN	ambairale
admiracion	NOUN	ambairas
admirail	NOUN	amiralie
admiral	NOUN	amiral
admiral	PROPN	amiral
admirals	NOUN	amiral
admiraux	NOUN	amberois
admissi	VERB	ambedtre
admiz	NOUN	ambettre
admonesta	VERB	adommanter
admoneste	NOUN	adommenter
admoniti	VERB	admenir
admonnesta	VERB	adomner
admonnestant	NOUN	adomner
admonneste	NOUN	adomminer
admonnesté	NOUN	adomminer
admonnestee	VERB	adomminer
admonnestement	NOUN	adomminer
admonnestent	VERB	adomnestire
admonnestoient	VERB	adomnestion
admonnestoit	VERB	adomminer
admortissement	NOUN	amorter
admounesta	VERB	amouter
admounestemens	NOUN	amoutemont
admounestoit	VERB	admouter
admyrals	NOUN	amilar
adnonçoit	ADV	endoncer
adnullant	VERB	anduiller
adoisement	ADV	adesmer
adoist	VERB	adoiser
adolés	VERB	adoler
adolescens	NOUN	adlecier
adollé	VERB	aleler
adommagèrent	VERB	admomegtier
adommagié	VERB	adommager
adommagièrent	VERB	admomegier
adonaÿ	PROPN	adoncer
adoncq	ADV	adonc
adoncquez	VERB	adoncer
adoncquez	ADV	adoncer
adonías	PROPN	adoncer
adoniás	PROPN	adoncine
adónie	PROPN	adimine
adoníram	PROPN	adombrer
adonirám	PROPN	adonciner
adonné	VERB	adonner
adonner	VERB	adonner
adonqe	PROPN	adonc
adonqe	ADP	adonc
adonys	PROPN	adomin
adoubée	VERB	adouber
adoubéz	VERB	adouber
adouce	ADP	adoucer
adoucissoit	VERB	adoscir
adoucist	VERB	adoucir
adoulcir	VERB	adoucir
adoulcisse	VERB	adoucir
adourer	VERB	adourer
adournement	NOUN	adormer
adramelech	PROPN	armarde
adrameléch	PROPN	ardemarde
adrecees	ADP	adrecer
adrécement	NOUN	ardement
adrecèrent	VERB	adrecier
adrechié	VERB	adrecier
adrechier	VERB	adrecier
adrécied	ADJ	adrecier
ádrecier	VERB	drecier
adreçoyent	VERB	adrecier
adresaunt	VERB	adresser
adresça	PROPN	adresser
adresça	VERB	adresser
adresce	PROPN	adrecier
adresce	NOUN	adrecier
adrescement	NOUN	ardement
adrescer	VERB	adrecier
adressa	VERB	adresser
adressasmes	NOUN	adresser
adressat	VERB	adresser
adressay	VERB	adresser
adresse	NOUN	adresser
adresser	VERB	adresser
adresseroit	VERB	adresser
adressoit	VERB	adresser
adrian	PROPN	adris
adrians	PROPN	adrisar
adriel	PROPN	adris
adrinople	PROPN	arbionnel
adrois	ADJ	adrois
adroitz	ADJ	adroit
adubba	VERB	baubeux
ádubéd	NOUN	dubeut
ádubéés	NOUN	dubété
adubet	VERB	adquét
ádubez	ADJ	ducet
adulations	NOUN	alluter
adultères	ADJ	auduret
adunad	VERB	adonc
adunat	NOUN	adoner
adunouent	ADV	adonuter
adurám	PROPN	audre
adurci	NOUN	audri
adurcy	NOUN	audric
advancement	NOUN	avancement
advantageuse	NOUN	avant-auper
advantaige	NOUN	avantage
advarice	NOUN	avercier
advaricieuse	NOUN	avercier
advendra	VERB	advenir
advendroit	NOUN	advenir
advenement	NOUN	avendre
advènement	ADV	avencement
advenoient	VERB	advenir
advenoit	VERB	advenir
advent	PROPN	advenser
adventaige	NOUN	aventir
adventure	NOUN	aventure
adventurer	VERB	aventure
adventures	NOUN	aventure
adventureuse	NOUN	aventure
advenue	VERB	avendre
advenues	NOUN	avenir
adversaire	NOUN	adversaire
adversaire	NOUN	aversaitier
adversaires	NOUN	adversaire
adversiteez	VERB	adversité
adversitez	NOUN	adversité
advertis	VERB	avertir
advertissemens	NOUN	avertir
advertissement	VERB	avertir
advertissoient	VERB	avertir
adverturer	NOUN	averture
adveu	NOUN	aveu
adveugle	NOUN	aveugler
adviendra	VERB	advenir
adviengne	PROPN	advenir
adviengne	VERB	advenir
adviennent	VERB	advenir
advindrent	VERB	advenir
advironnée	VERB	avoir
advironnés	NOUN	avernit
advisa	VERB	aviser
advisay	VERB	aviser
advise	NOUN	aviser
advisee	VERB	aviser
advisée	NOUN	aviser
advisemens	NOUN	aviser
adviserent	VERB	adversiz
advisés	PROPN	aviser
advisés	NOUN	aviser
advisez	VERB	aviser
advisez	NOUN	aviser
advisié	VERB	aviser
advisons	VERB	aviser
advisons	PROPN	aviser
adviz	NOUN	avis
advocas	NOUN	avocat
advocat	NOUN	avocat
advocate	NOUN	avocatter
advocation	NOUN	avoutar
advocatis	NOUN	avocat
advoesons	NOUN	avoir
advoquée	NOUN	avocer
advoua	VERB	avouer
advouer	NOUN	avouer
advouer	ADP	avouer
advys	NOUN	avis
aedelstan	PROPN	adealois
aedwine	PROPN	ademinir
aegre	NOUN	egree
aeisent	VERB	aaisier
aemplies	VERB	ampelir
aemplirai	VERB	amelir
aemplit	VERB	ampelir
aerdent	VERB	erder
aerdi	VERB	aerdi
aerdirent	VERB	aredier
aërdre	VERB	ereder
aërse	NOUN	aerre
aersist	VERB	arester
aerst	VERB	estre
aesa	VERB	aeser
aesiers	NOUN	aesfer
aesmeuet	VERB	esmauise
aeswardevet	VERB	esarable
aetites	NOUN	ataitier
aeure	NOUN	aire
aëz	NOUN	avoir
af	NOUN	afoir
afaíre	NOUN	afaret
afáires	NOUN	affire
áfáires	NOUN	ferif
afaitad	VERB	affaiter
afaíted	PROPN	afadre
afaiterent	VERB	affaiter
afaitie	VERB	afaitier
afanz	VERB	afant
afautreüre	NOUN	afartefuire
áfebliád	NOUN	febliciable
afermed	VERB	afermer
aferméd	VERB	afermer
aferméés	VERB	afermer
áfermement	NOUN	fermement
afermét	VERB	afermer
áfermez	VERB	fermer
aferméz	VERB	afermer
afert	NOUN	afer
afetement	NOUN	afaitement
afetié	VERB	afaitier
afetier	VERB	afaitier
affaictez	VERB	affaiter
affait	NOUN	affaitier
affaitié	NOUN	affaitier
affanz	NOUN	affant
affebli	VERB	affecil
affech	PROPN	affacie
affectee	NOUN	affecte
affection	NOUN	affection
affections	NOUN	affection
affectueusement	NOUN	affectue
affelonni	VERB	affenclin
affere	NOUN	afferre
affermanz	NOUN	affermer
affermast	NOUN	affermer
affermées	NOUN	affermer
afferment	NOUN	affermer
affermerent	VERB	affermer
affermes	NOUN	affermer
affermés	NOUN	affermer
affermoies	NOUN	affermer
affermoit	VERB	affermer
afferoit	NOUN	afferre
affetardir	VERB	affatre
affiance	NOUN	affaine
affichiez	VERB	afficier
affictions	NOUN	afficiner
affie	NOUN	affier
affïer	VERB	affire
affiere	NOUN	affier
affierent	VERB	afferir
affine	NOUN	afiner
affinez	NOUN	affiner
affinité	NOUN	affirner
affirmoit	VERB	affirer
affit	NOUN	affit
afflictïons	NOUN	affrisle
afflictïuns	NOUN	affrisline
afflites	VERB	afflatre
affliz	NOUN	affiliz
affole	NOUN	affoler
affolez	VERB	affoler
affolle	NOUN	affaller
affollee	VERB	affaller
affoller	VERB	affaller
affollez	VERB	affaller
affondre	VERB	affont
affoulast	VERB	affautle
affranchi	NOUN	affrance
affranchir	NOUN	affrenchier
affre	NOUN	affart
affrenée	NOUN	affermer
affricain	PROPN	africier
affublee	VERB	affaucer
affublerent	VERB	affubler
affublés	VERB	affauchier
affuerre	NOUN	affréque
affusté	NOUN	affusté
affustés	VERB	affusté
affuy	NOUN	afficu
affy	NOUN	affiz
affye	NOUN	affier
affyer	NOUN	affier
afiebliseit	VERB	afibler
afiés	NOUN	affier
afilet	VERB	afiler
afinéz	NOUN	afiner
afoibliz	VERB	afiblier
afolee	VERB	afoler
afolés	VERB	affoler
afolet	NOUN	afoler
aforkent	VERB	aforcer
afost	NOUN	afost
afranchisez	VERB	afrenchier
afreinne	NOUN	araitien
afsibá	PROPN	afiber
afublád	NOUN	afubler
afuioient	VERB	afiquier
afulement	NOUN	aflement
afulés	VERB	afleur
afyn	NOUN	afin
ag	NOUN	age
agaches	NOUN	agechier
agais	NOUN	agais
agaitz	VERB	agatir
agape	PROPN	aget
agapion	PROPN	apagoin
agas	VERB	age
agatis	NOUN	agatis
agatur	NOUN	atarge
agays	NOUN	agais
agelongnay	VERB	aglenoil
agen	PROPN	agen
agenoillot	NOUN	agenoillier
agenois	PROPN	agneoin
agenoiz	PROPN	agenoit
agenor	PROPN	agenoir
agenoulla	VERB	agoneloin
agenoullia	VERB	agenoillier
agenoullierent	VERB	agenoillier
agenoulloient	VERB	agenoillier
agenoulloit	VERB	agenoillier
agenuilla	VERB	agenuillier
agenuille	NOUN	agenoillier
agesante	NOUN	agener
aggravanté	VERB	garanter
aggravee	VERB	garefor
aggravement	NOUN	garement
aggravez	VERB	gareagre
agien	PROPN	aginer
agille	NOUN	agleil
agincort	PROPN	anguetre
agincourt	PROPN	anguercin
aginoys	PROPN	aginos
agít	PROPN	gater
agitatis	ADJ	agaitier
agletetre	PROPN	agleter
agneaus	NOUN	angaissel
agneis	PROPN	agneau
agnelletz	NOUN	angleter
agnelx	ADJ	agnel
agnen	PROPN	agnener
agnés	PROPN	agnes
agoutz	NOUN	agotre
agrainne	ADJ	argentine
agravented	VERB	agrevent
ágraventéz	NOUN	grever
agravét	VERB	agrever
agréable	NOUN	agreable
agréables	NOUN	agreable
agrée	NOUN	agreer
agreerez	VERB	agreere
agrega	VERB	agreagier
agreger	VERB	agreger
agreget	VERB	agreger
agregont	NOUN	agregor
ágreier	VERB	graire
agrerés	NOUN	agresé
aguáit	NOUN	aguit
aguaita	VERB	agaitier
aguaitz	VERB	agaitier
aguë	ADJ	ague
agueille	NOUN	agaillie
agueit	VERB	agait
agueite	VERB	agaitier
agueites	NOUN	agaitier
aguetz	NOUN	aguetre
aguez	VERB	ague
aguiete	NOUN	agaitier
aguillonné	VERB	allagnie
aguillonner	NOUN	agleingle
aguilun	NOUN	aguin
águíser	NOUN	guicher
aguisiés	VERB	agaissier
aguisse	NOUN	aguiser
aguler	VERB	agler
agunt	ADJ	agnedor
ahalape	PROPN	apaler
ahaneir	VERB	ahanisan
ahaneires	NOUN	ahanisanir
aheise	NOUN	ahaisier
ahenna	VERB	ahannais
ahennable	NOUN	amener
aherdauntz	VERB	aerdreande
aherdoit	VERB	aerdre
ahert	VERB	aher
ahier	NOUN	aiger
ahiert	NOUN	avoir
ahontés	VERB	aonter
ahór	PROPN	aigue
ahucha	PROPN	achauc
áhúge	NOUN	hagge
ái	ADV	il
aí	ADP	avoir
áí	CCONJ	is
áïá	VERB	ipi
aiam	NOUN	aimer
aians	NOUN	avoir
aianz	NOUN	avoir
aiaus	PROPN	aile
aïaus	NOUN	ääir
aïcá	NOUN	äiri
aicz	NOUN	acier
aidá	NOUN	aider
aïdance	NOUN	adïance
aidastes	ADJ	adestre
áidé	VERB	dire
aideray	VERB	aidier
aiderent	VERB	aidier
aideretz	NOUN	aidiere
aídier	VERB	adidier
aïdunc	PROPN	aidinue
áíé	NOUN	étre
aiel	NOUN	aler
aielle	NOUN	aeler
aiens	VERB	avoir
áient	VERB	inet
aiés	VERB	avoir
aiés	PROPN	aider
áíés	NOUN	étre
aiet	VERB	avoir
aiéz	VERB	avoir
áíéz	VERB	avoir
aigneals	PROPN	aignele
aigneau	NOUN	ainguetan
aigneaulz	NOUN	aignele
aigneaus	NOUN	ainguetage
aigniaus	ADJ	ainginge
aigny	PROPN	aigni
aiguemorte	PROPN	aiguetrement
áïlá	NOUN	pil
áïlám	VERB	pilmeu
aileurs	NOUN	aillers
aill	NOUN	aler
ailliez	VERB	aler
aillissiéz	VERB	aller
aillon	PROPN	aillons
ailmoigne	VERB	aillommais
aimablement	NOUN	amaigmement
aimableté	VERB	amaitlement
aïmadáb	PROPN	ambetanc
aïmant	NOUN	amient
aimeçons	NOUN	aimçoisson
aimery	PROPN	aimer
aimet	VERB	aimer
aimmes	VERB	amer
aimt	NOUN	aider
aincoires	NOUN	aincorne
ainçoiz	ADV	ainçois
ainel	NOUN	aine
aingleterre	PROPN	hangeleter
aingnaus	PROPN	anglener
aingnez	VERB	engendre
ainment	VERB	amener
ainmera	VERB	ainmer
ainné	VERB	ainné
ainnee	ADJ	aineme
ainnée	NOUN	année
ainsiz	ADJ	ainsi
ainsiz	PROPN	ainsi
ainsneez	VERB	ansener
ainsnés	ADJ	ainsi
ainsnez	ADJ	ensein
ainsqu	PROPN	ains
ainsqu	ADP	ains
ainssin	PROPN	ainsi
ainssin	ADJ	ainsi
ainte	ADJ	aint
ainxi	VERB	ainci
ainxin	ADJ	aincin
ainxin	PROPN	ainsi
aioel	NOUN	aoler
aioint	VERB	avoir
aiole	NOUN	aler
aiols	NOUN	aler
áïon	NOUN	ïon
aious	ADV	aler
áire	NOUN	ire
aíre	VERB	arer
aïre	NOUN	äirier
aïrés	ADV	aire
aïréz	VERB	airer
aïrus	ADV	erpi
